,Month,Day,Year,Artist,Tour,Venue
0,Sep,29,2022,Leon Bridges,Boundless Tour,"Hamer Hall, The Arts Centre, Melbourne, Australia"
0,Sep,29,2022,Brad Paisley,,"Rod Laver Arena, Melbourne, Australia"
0,Sep,28,2022,Tove Lo,,"170 Russell, Melbourne, Australia"
0,Sep,27,2022,ATLVS,,"Stay Gold, Melbourne, Australia"
0,Sep,27,2022,Diamond Construct,,"Stay Gold, Melbourne, Australia"
0,Sep,27,2022,ERRA,Pull From the Ghost,"Stay Gold, Melbourne, Australia"
0,Sep,27,2022,The Gloom in the Corner,,"Stay Gold, Melbourne, Australia"
0,Sep,26,2022,Billie Eilish,Happier Than Ever: The World Tour,"Rod Laver Arena, Melbourne, Australia"
0,Sep,26,2022,Gretta Ray,,"Royal Melbourne Showgrounds, Melbourne, Australia"
0,Sep,26,2022,Sampa the Great,,"Rod Laver Arena, Melbourne, Australia"
0,Sep,25,2022,Creed Bratton,,"Corner Hotel, Melbourne, Australia"
0,Sep,25,2022,The Driver Era,Summer Tour 2022,"170 Russell, Melbourne, Australia"
0,Sep,24,2022,Billie Eilish,Happier Than Ever: The World Tour,"Rod Laver Arena, Melbourne, Australia"
0,Sep,24,2022,Black Majesty,,"Northcote Social Club, Melbourne, Australia"
0,Sep,24,2022,Mike Brady,,"Melbourne Cricket Ground, Melbourne, Australia"
0,Sep,24,2022,Sampa the Great,,"Rod Laver Arena, Melbourne, Australia"
0,Sep,24,2022,Teramaze,,"Northcote Social Club, Melbourne, Australia"
0,Sep,24,2022,Vanishing Point,,"Northcote Social Club, Melbourne, Australia"
0,Sep,24,2022,Robbie Williams,,"Melbourne Cricket Ground, Melbourne, Australia"
0,Sep,23,2022,24kGoldn,,"Catani Gardens, Melbourne, Australia"
0,Sep,23,2022,AJ Tracey,,"Catani Gardens, Melbourne, Australia"
0,Sep,23,2022,Billie Eilish,Happier Than Ever: The World Tour,"Rod Laver Arena, Melbourne, Australia"
0,Sep,23,2022,Central Cee,,"Catani Gardens, Melbourne, Australia"
0,Sep,23,2022,Disclosure,,"Catani Gardens, Melbourne, Australia"
0,Sep,23,2022,ERRA,Pull From the Ghost,"170 Russell, Melbourne, Australia"
0,Sep,23,2022,The Frowning Clouds,,"John Curtin Hotel, Melbourne, Australia"
0,Sep,23,2022,Furnace And The Fundamentals,,"Max Watt's House of Music, Melbourne, Australia"
0,Sep,23,2022,Dora Jar,,"Rod Laver Arena, Melbourne, Australia"
0,Sep,23,2022,Louis the Child,,"Catani Gardens, Melbourne, Australia"
0,Sep,23,2022,Katie Noonan,"Polyserena 20th Anniversary Tour – Katie Noonan, Tyrone Noonan & Band","Elisabeth Murdoch Hall, Melbourne Recital Centre, Melbourne, Australia"
0,Sep,23,2022,The Plot in You,,"170 Russell, Melbourne, Australia"
0,Sep,23,2022,Trippie Redd,,"Catani Gardens, Melbourne, Australia"
0,Sep,23,2022,Roddy Ricch,,"Catani Gardens, Melbourne, Australia"
0,Sep,23,2022,Teenage Joans,,"Northcote Social Club, Melbourne, Australia"
0,Sep,23,2022,Tove Lo,,"Catani Gardens, Melbourne, Australia"
0,Sep,23,2022,Ross Wilson,,"The Palms at Crown, Melbourne, Australia"
0,Sep,23,2022,bbno$,bbnoworldtour,"Catani Gardens, Melbourne, Australia"
0,Sep,23,2022,george,Polyserena 20th Anniversary Tour 2022,"Elisabeth Murdoch Hall, Melbourne Recital Centre, Melbourne, Australia"
0,Sep,22,2022,Bakers Eddy,,"170 Russell, Melbourne, Australia"
0,Sep,22,2022,Beddy Rays,,"170 Russell, Melbourne, Australia"
0,Sep,22,2022,Billie Eilish,Happier Than Ever: The World Tour,"Rod Laver Arena, Melbourne, Australia"
0,Sep,22,2022,Dallas Crane,,"Corner Hotel, Melbourne, Australia"
0,Sep,22,2022,The Frowning Clouds,,"John Curtin Hotel, Melbourne, Australia"
0,Sep,22,2022,Magic Dirt,,"The Tote Hotel, Melbourne, Australia"
0,Sep,22,2022,The Meanies,,"Brunswick Ballroom, Melbourne, Australia"
0,Sep,22,2022,Moody Beaches,,"The Tote Hotel, Melbourne, Australia"
0,Sep,22,2022,Katie Noonan,"Polyserena 20th Anniversary Tour – Katie Noonan, Tyrone Noonan & Band","Elisabeth Murdoch Hall, Melbourne Recital Centre, Melbourne, Australia"
0,Sep,22,2022,TOWNS,,"170 Russell, Melbourne, Australia"
0,Sep,22,2022,bbno$,bbnoworldtour,"Prince Bandroom, Melbourne, Australia"
0,Sep,21,2022,Michael Cavanagh,,"Drumtek, Melbourne, Australia"
0,Sep,18,2022,Agnes Manners,,"Stay Gold, Melbourne, Australia"
0,Sep,18,2022,Circle Jerks,Australian Tour 2022,"Forum Theatre, Melbourne, Australia"
0,Sep,18,2022,Ghost Atlas,,"Stay Gold, Melbourne, Australia"
0,Sep,18,2022,Tony Hadley,,"Palais Theatre, Melbourne, Australia"
0,Sep,18,2022,Landon Tewers,,"Stay Gold, Melbourne, Australia"
0,Sep,18,2022,Pennywise,Australian Tour 2022,"Forum Theatre, Melbourne, Australia"
0,Sep,17,2022,Blanco Brown,,"Margaret Court Arena, Melbourne, Australia"
0,Sep,17,2022,Kane Brown,,"Margaret Court Arena, Melbourne, Australia"
0,Sep,17,2022,Circle Jerks,Australian Tour 2022,"Chelsea Heights Hotel, Melbourne, Australia"
0,Sep,17,2022,Delivery,,"Northcote Social Club, Melbourne, Australia"
0,Sep,17,2022,Eggy,With Gusto,"Northcote Social Club, Melbourne, Australia"
0,Sep,17,2022,Icecream Hands,,"Forum Theatre, Melbourne, Australia"
0,Sep,17,2022,Magic Dirt,,"Poison City Records, Melbourne, Australia"
0,Sep,17,2022,Pennywise,Australian Tour 2022,"Chelsea Heights Hotel, Melbourne, Australia"
0,Sep,17,2022,Pyx Lax,,"Palais Theatre, Melbourne, Australia"
0,Sep,17,2022,Restless Road,,"Margaret Court Arena, Melbourne, Australia"
0,Sep,17,2022,The Script,,"Sidney Myer Music Bowl, Melbourne, Australia"
0,Sep,17,2022,Conrad Sewell,,"Sidney Myer Music Bowl, Melbourne, Australia"
0,Sep,17,2022,The Whitlams,ETERNAL NIGHTCAP 25 YEAR ANNIVERSARY TOUR,"Forum Theatre, Melbourne, Australia"
0,Sep,16,2022,The Chats,Get Fucked Australian Tour,"Forum Theatre, Melbourne, Australia"
0,Sep,16,2022,The Dandy Warhols,,"Sidney Myer Music Bowl, Melbourne, Australia"
0,Sep,16,2022,Even,,"Sidney Myer Music Bowl, Melbourne, Australia"
0,Sep,16,2022,Hoodoo Gurus,,"Sidney Myer Music Bowl, Melbourne, Australia"
0,Sep,16,2022,Mammal,,"Max Watt's House of Music, Melbourne, Australia"
0,Sep,16,2022,Mean Jeans,Australia & New Zealand 2022,"Forum Theatre, Melbourne, Australia"
0,Sep,16,2022,The Murlocs,,"Brunswick Ballroom, Melbourne, Australia"
0,Sep,16,2022,Slowly Slowly,'22 Regional Aus Tour,"EV's Youth Centre, Melbourne, Australia"
0,Sep,15,2022,The Beths,North America 2022,"170 Russell, Melbourne, Australia"
0,Sep,15,2022,LOSER,,"Pelly Bar, Melbourne, Australia"
0,Sep,15,2022,Mammal,,"Pelly Bar, Melbourne, Australia"
0,Sep,14,2022,Midnight Oil,One For The Road,"Palais Theatre, Melbourne, Australia"
0,Sep,14,2022,Slurm,,"The Old Bar, Melbourne, Australia"
0,Sep,12,2022,Midnight Oil,One For The Planet,"Palais Theatre, Melbourne, Australia"
0,Sep,12,2022,Liz Stringer,,"Palais Theatre, Melbourne, Australia"
0,Sep,11,2022,Mean Jeans,Australia & New Zealand 2022,"Hotel Westwood, Melbourne, Australia"
0,Sep,11,2022,Mimi Webb,,"170 Russell, Melbourne, Australia"
0,Sep,10,2022,A Gazillion Angry Mexicans,,"Bendigo Hotel, Melbourne, Australia"
0,Sep,10,2022,A.B. Original,,"Rod Laver Arena, Melbourne, Australia"
0,Sep,10,2022,Amyl and the Sniffers,Comfort To Me Tour 2022,"Pier Bandroom, Melbourne, Australia"
0,Sep,10,2022,Bastardizer,,"The Last Chance Rock & Roll Bar, Melbourne, Australia"
0,Sep,10,2022,Bodyjar,,"Croxton Park Hotel, Melbourne, Australia"
0,Sep,10,2022,C.O.F.F.I.N,,"Pier Bandroom, Melbourne, Australia"
0,Sep,10,2022,The Church,The Slings and Arrows of Outrageous Fortune Tour,"Northcote Theatre, Melbourne, Australia"
0,Sep,10,2022,High As Hell,,"Bendigo Hotel, Melbourne, Australia"
0,Sep,10,2022,Hilltop Hoods,The Show Business Tour,"Rod Laver Arena, Melbourne, Australia"
0,Sep,10,2022,Pieces of Molly,,"Bendigo Hotel, Melbourne, Australia"
0,Sep,10,2022,Planet of the 8s,,"Bendigo Hotel, Melbourne, Australia"
0,Sep,10,2022,Pop Will Eat Itself,,"Corner Hotel, Melbourne, Australia"
0,Sep,10,2022,Sasquatch,,"Bendigo Hotel, Melbourne, Australia"
0,Sep,10,2022,The Smith Street Band,,"Croxton Park Hotel, Melbourne, Australia"
0,Sep,10,2022,Snog,,"Corner Hotel, Melbourne, Australia"
0,Sep,10,2022,beabadoobee,Beatopia,"Forum Theatre, Melbourne, Australia"
0,Sep,9,2022,Claire Birchall,,"John Curtin Hotel, Melbourne, Australia"
0,Sep,9,2022,Bitumen,,"John Curtin Hotel, Melbourne, Australia"
0,Sep,9,2022,Carnifex,Graveside Confessions,"Northcote Theatre, Melbourne, Australia"
0,Sep,9,2022,Cassidy Paris,,"Prince Bandroom, Melbourne, Australia"
0,Sep,9,2022,Cong Josie,,"John Curtin Hotel, Melbourne, Australia"
0,Sep,9,2022,H.E.A.T,Sign in the Northern Sky Tour 2022,"Prince Bandroom, Melbourne, Australia"
0,Sep,9,2022,Hatchie,,"Corner Hotel, Melbourne, Australia"
0,Sep,9,2022,I AM,,"Northcote Social Club, Melbourne, Australia"
0,Sep,9,2022,Malevolence,Malicious Intent,"Northcote Theatre, Melbourne, Australia"
0,Sep,9,2022,Syzygy,,"John Curtin Hotel, Melbourne, Australia"
0,Sep,9,2022,Emma‐Jean Thackray,,"The Night Cat, Melbourne, Australia"
0,Sep,9,2022,Thy Art Is Murder,Human Target,"Northcote Theatre, Melbourne, Australia"
0,Sep,9,2022,Vacuum,,"John Curtin Hotel, Melbourne, Australia"
0,Sep,8,2022,Alex the Astronaut,,"Corner Hotel, Melbourne, Australia"
0,Sep,8,2022,Serene Ailment,,"Miscellania, Melbourne, Australia"
0,Sep,4,2022,Slurm,,"The Workers Club, Melbourne, Australia"
0,Sep,3,2022,Alera,,"Max Watt's House of Music, Melbourne, Australia"
0,Sep,3,2022,Earth Caller,,"Max Watt's House of Music, Melbourne, Australia"
0,Sep,3,2022,Eliza & the Delusionals,Now and Then Album Tour,"Northcote Social Club, Melbourne, Australia"
0,Sep,3,2022,Hot Milk,Sad Summer Festival 2022,"Stay Gold, Melbourne, Australia"
0,Sep,3,2022,Inertia,,"Max Watt's House of Music, Melbourne, Australia"
0,Sep,3,2022,Pete Murray,,"Corner Hotel, Melbourne, Australia"
0,Sep,3,2022,Ocean Sleeper,,"Max Watt's House of Music, Melbourne, Australia"
0,Sep,3,2022,These New South Whales,,"John Curtin Hotel, Melbourne, Australia"
0,Sep,3,2022,Thousand Below,,"Max Watt's House of Music, Melbourne, Australia"
0,Sep,2,2022,Hot Milk,Sad Summer Festival 2022,"Forum Theatre, Melbourne, Australia"
0,Sep,2,2022,The Maine,,"Forum Theatre, Melbourne, Australia"
0,Sep,2,2022,M O N R O E,,"The Vineyard, Melbourne, Australia"
0,Sep,2,2022,State Champs,,"Forum Theatre, Melbourne, Australia"
0,Sep,1,2022,Thelma Plum,,"Forum Theatre, Melbourne, Australia"
0,Aug,29,2022,Thallium,,"The Old Bar, Melbourne, Australia"
0,Aug,28,2022,Northbourne,They'll Never Find Us Here,"The Last Chance Rock & Roll Bar, Melbourne, Australia"
0,Aug,27,2022,Baby Animals,30th Anniversary Tour,"Croxton Park Hotel, Melbourne, Australia"
0,Aug,27,2022,Cog,,"Port Melbourne Industrial Centre for the Arts, Melbourne, Australia"
0,Aug,27,2022,Karnivool,,"Port Melbourne Industrial Centre for the Arts, Melbourne, Australia"
0,Aug,27,2022,Mother Culture,,"The Retreat Hotel, Melbourne, Australia"
0,Aug,27,2022,Northeast Party House,,"Northcote Theatre, Melbourne, Australia"
0,Aug,27,2022,Ocean Grove,,"Port Melbourne Industrial Centre for the Arts, Melbourne, Australia"
0,Aug,27,2022,Plini,,"Port Melbourne Industrial Centre for the Arts, Melbourne, Australia"
0,Aug,27,2022,The Poor,,"Hotel Westwood, Melbourne, Australia"
0,Aug,27,2022,Reliqa,,"Port Melbourne Industrial Centre for the Arts, Melbourne, Australia"
0,Aug,27,2022,Spacey Jane,Here Comes Everybody Australian Tour,"Forum Theatre, Melbourne, Australia"
0,Aug,27,2022,Teenage Dads,,"Forum Theatre, Melbourne, Australia"
0,Aug,27,2022,Yomi Ship,,"Port Melbourne Industrial Centre for the Arts, Melbourne, Australia"
0,Aug,27,2022,sleepmakeswaves,,"Port Melbourne Industrial Centre for the Arts, Melbourne, Australia"
0,Aug,26,2022,Baby Animals,30th Anniversary Tour,"Corner Hotel, Melbourne, Australia"
0,Aug,26,2022,Stella Donnelly,,"Readings Bookstore, Melbourne, Australia"
0,Aug,26,2022,Charm of Finches,,"George Lane, Melbourne, Australia"
0,Aug,26,2022,Tom Lyngcoln,,"Northcote Theatre, Melbourne, Australia"
0,Aug,26,2022,M O N R O E,,"Bodriggy Brewing, Melbourne, Australia"
0,Aug,26,2022,Slurm,,"Private Venue, Melbourne, Australia"
0,Aug,26,2022,Something for Kate,Elsewhere for Eight Minutes 25 year anniversary show,"Northcote Theatre, Melbourne, Australia"
0,Aug,26,2022,Spacey Jane,Here Comes Everybody Australian Tour,"Forum Theatre, Melbourne, Australia"
0,Aug,26,2022,Teenage Dads,,"Forum Theatre, Melbourne, Australia"
0,Aug,26,2022,The Vanns,Regional Tour 2022,"Pelly Bar, Melbourne, Australia"
0,Aug,25,2022,Spacey Jane,,"Forum Theatre, Melbourne, Australia"
0,Aug,25,2022,The Vanns,Regional Tour 2022,"Sooki Lounge, Melbourne, Australia"
0,Aug,23,2022,CXLOE,,"170 Russell, Melbourne, Australia"
0,Aug,23,2022,Dallas Crane,,"Rod Laver Arena, Melbourne, Australia"
0,Aug,23,2022,FLETCHER,FLETCHER 2022 Tour,"170 Russell, Melbourne, Australia"
0,Aug,23,2022,KISS,End of the Road World Tour,"Rod Laver Arena, Melbourne, Australia"
0,Aug,23,2022,Spacey Jane,,"Forum Theatre, Melbourne, Australia"
0,Aug,21,2022,Dianas,,"The Old Bar, Melbourne, Australia"
0,Aug,21,2022,KISS,End of the Road World Tour,"Rod Laver Arena, Melbourne, Australia"
0,Aug,21,2022,Plaster of Paris,,"The Old Bar, Melbourne, Australia"
0,Aug,21,2022,Rival Fire,,"Rod Laver Arena, Melbourne, Australia"
0,Aug,20,2022,Acolyte,,"Evelyn Hotel, Melbourne, Australia"
0,Aug,20,2022,Be’lakor,'Coherence' August 2022 Australian Tour,"Corner Hotel, Melbourne, Australia"
0,Aug,20,2022,Dead City Ruins,,"Rod Laver Arena, Melbourne, Australia"
0,Aug,20,2022,Definitely Oasis,,"Max Watt's House of Music, Melbourne, Australia"
0,Aug,20,2022,Delivery,,"The Gem Bar, Melbourne, Australia"
0,Aug,20,2022,KISS,End of the Road World Tour,"Rod Laver Arena, Melbourne, Australia"
0,Aug,20,2022,Reece Mastin,10 Year Anniversary Tour 2022,"Kingston City Hall, Melbourne, Australia"
0,Aug,20,2022,Orpheus Omega,,"Corner Hotel, Melbourne, Australia"
0,Aug,20,2022,The Stranger,,"Evelyn Hotel, Melbourne, Australia"
0,Aug,20,2022,Vintage Crop,Kibitzer Album Launch,"Northcote Social Club, Melbourne, Australia"
0,Aug,20,2022,Voyager,,"Evelyn Hotel, Melbourne, Australia"
0,Aug,20,2022,screensaver,,"Northcote Social Club, Melbourne, Australia"
0,Aug,19,2022,AJR,OK Orchestra Tour,"Palais Theatre, Melbourne, Australia"
0,Aug,19,2022,Alexander 23,,"Palais Theatre, Melbourne, Australia"
0,Aug,19,2022,Harmony Byrne,,"Corner Hotel, Melbourne, Australia"
0,Aug,19,2022,CLAMM,,"Soundmerch, Melbourne, Australia"
0,Aug,19,2022,Circles,,"Stay Gold, Melbourne, Australia"
0,Aug,19,2022,MOD CON,,"Colour Club, Melbourne, Australia"
0,Aug,19,2022,The Omnific,,"Stay Gold, Melbourne, Australia"
0,Aug,19,2022,Patient Sixty-Seven,,"The Last Chance Rock & Roll Bar, Melbourne, Australia"
0,Aug,19,2022,Sally Seltmann,Early Moon Tour 2022,"Northcote Social Club, Melbourne, Australia"
0,Aug,19,2022,Sam Teskey,Cycles Album Tour,"Corner Hotel, Melbourne, Australia"
0,Aug,19,2022,Workhorse,,"The Retreat Hotel, Melbourne, Australia"
0,Aug,18,2022,Molly McKew,,"The Retreat Hotel, Melbourne, Australia"
0,Aug,18,2022,Jodi Phillis,,"Brunswick Ballroom, Melbourne, Australia"
0,Aug,16,2022,Slurm,,"The Workers Club, Melbourne, Australia"
0,Aug,14,2022,Amyl and the Sniffers,Comfort To Me Tour 2022,"Colour Club, Melbourne, Australia"
0,Aug,14,2022,Tropical Fuck Storm,Fuck the Rain Away,"John Curtin Hotel, Melbourne, Australia"
0,Aug,13,2022,Gang of Youths,angel in realtime.,"Rod Laver Arena, Melbourne, Australia"
0,Aug,13,2022,Middle Kids,,"Rod Laver Arena, Melbourne, Australia"
0,Aug,13,2022,Gretta Ray,,"Rod Laver Arena, Melbourne, Australia"
0,Aug,13,2022,Leah Senior,,"John Curtin Hotel, Melbourne, Australia"
0,Aug,13,2022,Sigur Rós,World Tour 2022,"Margaret Court Arena, Melbourne, Australia"
0,Aug,13,2022,Slowly Slowly,'22 Regional Aus Tour,"Pelly Bar, Pier Hotel, Melbourne, Australia"
0,Aug,13,2022,Slurm,,"Private Venue, Melbourne, Australia"
0,Aug,13,2022,C.W. Stoneking,,"Thornbury Theatre, Melbourne, Australia"
0,Aug,13,2022,Sunnyboys,,"Corner Hotel, Melbourne, Australia"
0,Aug,12,2022,Dallas Crane,,"The Night Cat, Melbourne, Australia"
0,Aug,12,2022,Delivery,,"Croxton Park Hotel, Melbourne, Australia"
0,Aug,12,2022,End of Fashion,,"The Night Cat, Melbourne, Australia"
0,Aug,12,2022,Even,,"Evelyn Hotel, Melbourne, Australia"
0,Aug,12,2022,Gang of Youths,angel in realtime.,"Rod Laver Arena, Melbourne, Australia"
0,Aug,12,2022,Jebediah,,"The Night Cat, Melbourne, Australia"
0,Aug,12,2022,The Mark of Cain,A Different Kind Of Tension,"Max Watt's House of Music, Melbourne, Australia"
0,Aug,12,2022,Middle Kids,,"Rod Laver Arena, Melbourne, Australia"
0,Aug,12,2022,Party Dozen,,"Croxton Park Hotel, Melbourne, Australia"
0,Aug,12,2022,Gretta Ray,,"Rod Laver Arena, Melbourne, Australia"
0,Aug,12,2022,C.W. Stoneking,,"Thornbury Theatre, Melbourne, Australia"
0,Aug,12,2022,Tropical Fuck Storm,Fuck the Rain Away,"Croxton Park Hotel, Melbourne, Australia"
0,Aug,12,2022,Whores.,,"Singing Bird Studios, Melbourne, Australia"
0,Aug,11,2022,Garrett Kato,Small Town Rituals 2022 Tour,"Brunswick Ballroom, Melbourne, Australia"
0,Aug,11,2022,Maddy May,,"Brunswick Ballroom, Melbourne, Australia"
0,Aug,11,2022,Chris Rock,Ego Death World Tour 2022,"Margaret Court Arena, Melbourne, Australia"
0,Aug,11,2022,Slowly Slowly,'22 Regional Aus Tour,"Sooki Lounge, Melbourne, Australia"
0,Aug,10,2022,Chris Rock,Ego Death World Tour 2022,"Margaret Court Arena, Melbourne, Australia"
0,Aug,7,2022,Orange Paw,,"Fairfield Bowling Club, Melbourne, Australia"
0,Aug,7,2022,Pretty in Pink,,"Tramway Hotel, Melbourne, Australia"
0,Aug,6,2022,Between You & Me,,"Corner Hotel, Melbourne, Australia"
0,Aug,6,2022,Confidence Man,,"Northcote Theatre, Melbourne, Australia"
0,Aug,6,2022,Dr Sure's Unusual Practice,,"John Curtin Hotel, Melbourne, Australia"
0,Aug,6,2022,Hearts and Rockets,,"The Gem Bar, Melbourne, Australia"
0,Aug,6,2022,Jungle Breed,,"John Curtin Hotel, Melbourne, Australia"
0,Aug,6,2022,Iron Mind,,"Northcote Social Club, Melbourne, Australia"
0,Aug,6,2022,Pinch Points,,"John Curtin Hotel, Melbourne, Australia"
0,Aug,6,2022,Sally Seltmann,Early Moon Tour 2022,"Record Paradise, Melbourne, Australia"
0,Aug,6,2022,screensaver,,"John Curtin Hotel, Melbourne, Australia"
0,Aug,5,2022,Bonobo,Fragments Live Tour,"Margaret Court Arena, Melbourne, Australia"
0,Aug,5,2022,Denouncement Pyre,,"Max Watt's House of Music, Melbourne, Australia"
0,Aug,5,2022,Penny Ikinger,,"Merri Creek Tavern, Melbourne, Australia"
0,Aug,5,2022,Krul,,"The Old Bar, Melbourne, Australia"
0,Aug,5,2022,Lincoln Le Fevre & The Insiders,,"John Curtin Hotel, Melbourne, Australia"
0,Aug,5,2022,Jo Meares and Mark McCartney,,"Merri Creek Tavern, Melbourne, Australia"
0,Aug,5,2022,M O N R O E,,"The Tote Hotel, Melbourne, Australia"
0,Aug,5,2022,PLEBS,,"The Old Bar, Melbourne, Australia"
0,Aug,5,2022,Psycroptic,,"Max Watt's House of Music, Melbourne, Australia"
0,Aug,5,2022,Vika and Linda Bull,The Wait,"Palais Theatre, Melbourne, Australia"
0,Aug,4,2022,Phil Jamieson,,"John Curtin Hotel, Melbourne, Australia"
0,Aug,4,2022,The Ten Tenors,,"Palais Theatre, Melbourne, Australia"
0,Aug,4,2022,Yours Truly,,"Wesley Anne, Melbourne, Australia"
0,Aug,3,2022,The HU,,"170 Russell, Melbourne, Australia"
0,Aug,3,2022,"Tyler, the Creator",Call Me If You Get Lost,"Rod Laver Arena, Melbourne, Australia"
0,Aug,3,2022,Tierra Whack,,"Rod Laver Arena, Melbourne, Australia"
0,Aug,2,2022,The HU,,"170 Russell, Melbourne, Australia"
0,Aug,2,2022,"Tyler, the Creator",Call Me If You Get Lost,"Rod Laver Arena, Melbourne, Australia"
0,Aug,2,2022,Tierra Whack,,"Rod Laver Arena, Melbourne, Australia"
0,Jul,31,2022,Amyl and the Sniffers,Comfort To Me Tour 2022,"Forum Theatre, Melbourne, Australia"
0,Jul,31,2022,Wil Wagner,,"Sooki Lounge, Melbourne, Australia"
0,Jul,30,2022,Chris Cheney,,"Corner Hotel, Melbourne, Australia"
0,Jul,30,2022,The Faim,,"Evelyn Hotel, Melbourne, Australia"
0,Jul,30,2022,The Fauves,,"Brunswick Ballroom, Melbourne, Australia"
0,Jul,29,2022,The Brand New Heavies,,"170 Russell, Melbourne, Australia"
0,Jul,29,2022,CLAMM,,"Triple R Performance Space, Melbourne, Australia"
0,Jul,29,2022,Dune Rats,,"The Industrique, Melbourne, Australia"
0,Jul,29,2022,Darren Hanlon,,"Collingwood Town Hall, Melbourne, Australia"
0,Jul,29,2022,Holly Humberstone,,"Corner Hotel, Melbourne, Australia"
0,Jul,29,2022,The Killers,,"Reunion Park, Melbourne City Centre, Australia"
0,Jul,29,2022,Sticky Fingers,,"Festival Hall, Melbourne, Australia"
0,Jul,29,2022,Teen Jesus and the Jean Teasers,,"The Industrique, Melbourne, Australia"
0,Jul,29,2022,The Veronicas,,"Reunion Park, Melbourne City Centre, Australia"
0,Jul,28,2022,Neil Hamburger,,"St Kilda Bowling Club, Melbourne, Australia"
0,Jul,28,2022,Jack Harlow,Come Home The Kids Miss You World Tour,"Forum Theatre, Melbourne, Australia"
0,Jul,28,2022,Slowly Slowly,,"Storey Hall, RMIT, Melbourne, Australia"
0,Jul,28,2022,Stellie,,"Storey Hall, RMIT, Melbourne, Australia"
0,Jul,28,2022,YUNGBLUD,Life On Mars Tour,"John Cain Arena, Melbourne, Australia"
0,Jul,27,2022,Dayglow,,"Corner Hotel, Melbourne, Australia"
0,Jul,27,2022,Liam Gallagher,C'mon You Know,"John Cain Arena, Melbourne, Australia"
0,Jul,27,2022,Pond,,"John Cain Arena, Melbourne, Australia"
0,Jul,27,2022,Tierra Whack,,"170 Russell, Melbourne, Australia"
0,Jul,26,2022,The Chats,,"John Cain Arena, Melbourne, Australia"
0,Jul,26,2022,The Lazy Eyes,,"John Cain Arena, Melbourne, Australia"
0,Jul,26,2022,Parquet Courts,Sympathy for Life,"Forum Theatre, Melbourne, Australia"
0,Jul,26,2022,The Strokes,,"John Cain Arena, Melbourne, Australia"
0,Jul,26,2022,Louis Tomlinson,Walls,"Margaret Court Arena, Melbourne, Australia"
0,Jul,25,2022,Ashbel,Deluge,"The Old Bar, Melbourne, Australia"
0,Jul,25,2022,Orville Peck,Bronco Tour,"Forum Theatre, Melbourne, Australia"
0,Jul,25,2022,Pacific Avenue,,"Margaret Court Arena, Melbourne, Australia"
0,Jul,25,2022,Louis Tomlinson,Walls,"Margaret Court Arena, Melbourne, Australia"
0,Jul,24,2022,Gorillaz,World Tour 2022,"John Cain Arena, Melbourne, Australia"
0,Jul,24,2022,Orville Peck,Bronco Tour,"Forum Theatre, Melbourne, Australia"
0,Jul,24,2022,Moonchild Sanelly,,"John Cain Arena, Melbourne, Australia"
