FullName,daao_bios
Destiny Deacon,"
Destiny Deacon was born in 1957 in Maryborough, Queensland. Her heritage is of the K’ua K’ua and Erub/Mer people of the Torres Strait Islands. She was raised in Melbourne and today lives and works out of her lounge room/studio in Brunswick, Victoria. In 1979 she received a Bachelor of Arts degree, majoring in politics at the University of Melbourne, and in 1981 she received a Diploma of Education from La Trobe University, after which she worked as a history teacher in Victoria’s secondary and community schools, and as a tutor and lecturer in Australian Writing and Culture and Aboriginal and Torres Strait Islander Cultural Production at Melbourne University. Inspired by her mother, Deacon eventually followed her passion for politics and became one of ‘Charlie’s Angels’, working for Aboriginal activist Dr. Charles Perkins as a staff trainer in Canberra, before beginning her professional photography career in 1990.  
Destiny Deacon’s family ancestry can be traced back over one hundred and fifty years to William Pitt, Prime Minister of England from 1783 to 1804, who fathered children by one of his slaves in Kingston, Jamaica. Deacon’s parents were Eleanor Harding, a Torres Strait Island woman from Darnley Island, far north Queensland, and Jack Harding, a white wharf labourer from Maroubra, in Sydney’s south. In 1956, they settled with their children in the Melbourne suburb of Fitzroy, amongst a community of Aboriginal people that had been established in the period between the two world wars. Many Indigenous people, and merchant seamen from around the world were drawn to the area because of work opportunities and Fitzroy became an important social and cultural hub. Soon after arriving there, however, the Harding couple separated and Destiny and her siblings were raised by their mother. Despite living in poverty the family survived with the support of the tight-­knit community. 
Eleanor first became politically involved in Aboriginal community affairs in the 1960s, through the Aborigines Advancement League with which she campaigned for citizenship during the 1967 referendum. She eventually became involved in Indigenous Women’s issues through the United Council of Aboriginal Women. Diagnosed with cancer in 1996, Eleanor died that same year leaving behind seven children, seven grandchildren, and a much-­celebrated life dedicated to the fight for Aboriginal rights. Deacon’s siblings include Clinton Nain, a renowned visual artist, dancer, performer and storyteller, and writer, performer and broadcaster Johnny Harding. 
Deacon became interested in photography at an early age, snapping pictures of family and friends with a Kodak Instamatic camera. It was not until she was in her 30s, however, that she began her professional photographic career, seeing it as a way to express herself and her political beliefs. A self-­taught artist known primarily for her photographs and videos, she also works in the mediums of installation and performance, as well as in writing and broadcasting. Considered one of Australia’s leading Indigenous artists, Deacon’s work subverts the kitsch knickknacks of her own domestic life to expose the racial politics of post colonialism still at work within contemporary Australian society. Much of her work aims to ‘rescue’ and elevate collectible objects of ‘Aboriginalia’ that she finds derogatory. Employing what she describes as low-­budget techniques, Deacon uses her own brand of complex humour and scathing wit to play on common Indigenous clichés. She says about her work: “I like to think there’s a laugh and a tear in every picture.” Her photographs often place a black dolly in the role of protagonist, acting out narratives that explore notions of gender and sexuality. Deacon embraces the immediacy of Polaroid photography and other low-­tech methods, which imbue her images with a strong visual aesthetic. Her constructed photographs create imaginary worlds, and operate as stage sets upon which her characters reenact scenes of oppression. The work addresses issues of poverty, racial discrimination and alienation, and exposes the lingering effects of Australia’s violent colonial history.
Tired of white photographers’ limited depictions of Aborigines, and eager to express her own views visually, Deacon launched her exhibition career in 1990, and it quickly gained momentum. She held her first show, ‘Pitcha Mi Koori’, as part of the Melbourne Fringe Festival, and in 1991, her work was included in ‘Aboriginal Women’s Exhibition’, curated by Hetti Perkins, at the Art Gallery of New South Wales in Sydney. Her work Tax free kangaroos, included in the 1991 exhibiton ‘Kudjeris’ at Boomalli Aboriginal Artists Cooperative, saw the beginning of her use of dolls and souvenir toys as subject matter. Throughout her work, Deacon focuses primarily on people, interchanging portraits of friends and relatives with inanimate dolls, using both to invert the colonial gaze and overturn the use of the Aboriginal figure as object of curiosity. Deacon describes her work as being ”about (re)creating a world of my own outside my own world.”
Her first solo exhibition, ‘Caste Offs’, was held in 1993 at the Australian Centre for Photography in Sydney, concurrent with a show by artist and curator Brenda Croft. In 1994, her work was included in several group exhibitions in Australia, including ‘Blakness: Blak City Culture!’ at the Australian Centre for Contemporary Art in Melbourne. Also that year, her video Welcome to My Koori World was included in the show ‘An Eccentric Orbit: Video Art in Australia’ at the Museum of Modern Art in New York. The piece was part of a sequence of videos created with fellow artist Michael Riley, in which they play zany characters in an absurdist melodrama, filmed almost entirely in a kitchen setting. Screened by ABC TV as part of the 'Blackout’ series, the videos were amongst the early mini-­television soap operas popular with Indigenous viewers.
1994 was also the year that Deacon participated in the fifth Havana Biennial in Cuba, in an exhibition entitled 'Tyerabarrbowaryaou  II : I shall never become a white man’. The show was curated specifically for the Biennial by Fiona Foley and Djon Mundine and included other prominent Aboriginal artists such as Ron Hurley and Robert Campbell Jnr. Following the hugely successful show of the same name, originally exhibited at the MCA in 1992, it was the first exhibition of contemporary Aboriginal Art to be commissioned by the MCA and it eventually toured throughout eastern Australia. Deacon’s 1997 solo exhibition, ‘No Fixed Dress’ at Gallery Gabrielle Pizzi in Melbourne was held in conjunction with the Melbourne Fashion Festival. The title of the show refers to the Aboriginal reggae rock band, No Fixed Address, whose song lyrics romanticise the ‘Aboriginal Woman’, but whom Deacon strips of any nostalgic notions. The 1998 show ‘Postcards from Mummy’, held at the Australian Centre for Photography, documented Deacon’s voyage to her mother’s homeland in the Torres Strait Islands, a poignant retracing of her mother’s life two years after her death.
In 2001, Roslyn Oxley9 Gallery in Sydney featured her photographic work for the first time, in the exhibition ‘Forced into Images’. The photographs follow the life of an Aboriginal girl, from childhood to adulthood, through a dark landscape fraught with domestic violence. The semi-­autobiographical series draws its title from a quote by Alice Walker, the African American author and poet: 'I see our brothers and sisters, mothers and fathers, captured and forced into images, doing hard time for all of us’.
Deacon’s work was featured in a solo exhibition, ‘Walk & don’t look blak’ curated by Natalie King, at the Museum of Contemporary Art, Sydney in 2004. The first major retrospective of her work, the show displayed the breadth of her practice, including works of photography, video, installation and performance. The exhibition subsequently toured to the Ian Potter Museum of Art at Melbourne University, the Adam Art Gallery and the Wellington City Gallery in Wellington, New Zealand, the Tjibao Cultural Centre in Noumea, New Caledonia and the Tokyo Metropolitan Museum of Photography in Japan. Deacon’s work was included in the survey ‘2004: Australian Culture Now’ at The Australian Centre for the Moving Image in Melbourne, for which she was commissioned to create a film for the programme 'Neighbours (the remix)’. With the help of her frequent collaborator, Virginia Fraser, she produced the absurdist Aboriginal comedy Over d-­fence, a series of hilarious sketches performed by friends and family members. Situated in a suburban backyard, the work’s subtle details evoke the ‘horror signifiers’ of Australia’s colonial past. A looped cord hanging next to a black doll, for example, creates a haunting juxtaposition -­ the simple detritus of mass culture rearranged into a nightmarish scene.
In 2008, Deacon participated in the 16th Biennale of Sydney, entitled ‘Revolutions – Forms That Turn’. Again working with Fraser, she created an installation specifically for the Biennale, the provocative piece Occupied, which was situated in the Botanical Gardens. A long-­time friend of Deacon, Fraser is a Melbourne-­‐based artist,curator, and writer, and since first joining Roslyn Oxley9 in 2001, the pair has shown work there nearly every year. Together they have created works such as Fence Sitters, a series of photographs and woven works, including cushion covers and carpets, shown at the Melbourne Art Fair in 2008. Destiny Deacon’s work is held in most major Australian museums, as well as in international collections, and she is represented in Europe by Galleria Raffaella Cortese in Milan, Italy.


"
William Delafield-Cook,
Karla Dickens,"
Karla Dickens, Wiradjuri painter, was born in Sydney in 1967. Dickens enrolled in Life Drawing classes at high school where the female form was her main subject matter. She began her formal training as an artist when she enrolled at the National Art School in Darlinghurst, Sydney in 1991, obtaining a Fine Arts Diploma in 1993 and a Bachelor in Fine Arts in 2000.  After moving to Wollombi in the Hunter Valley, NSW Dickens says her work became “more detailed with a stronger Indigenous feel.” She also says that her work at this time was about finding “more acceptance with my sexuality”. Following the death of a close friend in 1997 crosses began appearing as motifs within her paintings and in 2000 Dickens began incorporating text into her work. Her work in 2003 changed dramatically when Dickens began beading onto painted canvasses, a strong contrast of fresh mark making and fine textured detail. Her inspirations as stated in a 2007 interview with the author are “politics, love, sex and the environment”.  Dickens has shown in many solo and group exhibitions including “The Art of Place” at Old Parliament House, Canberra in 1998, “Co-Existence” at Hogarth Galleries, Sydney in 1998, “Love Magic” at S.H. Ervin Gallery, Sydney for Perspecta 1999, “Aboriginal Ways of Knowing” at the Macy Gallery, Columbia University, USA in 2001, “Hung, Drawn and Quartered” at the Tin Sheds Gallery, University of Sydney in 2003, “Nice Coloured Dolls”, 24HR Art, Darwin, Northern Territory in 2004, “Our Spirit Our Country – Bundjalung Art Award” and “Chrysalis” both at Lismore Regional Art Gallery in 2006.  In his article, “Where Eagles Hover” (Artlink, Volume 18, No 1) Maurice O’Riordan writes of Dickens’ work in her 1997 solo exhibition “Jowalbinna” (home of the ancient ones), “Dickens’ paintings show that the spirituality powering Aboriginal art is well and truly alive. In her series’ title painting, Jowalbinna, a host of 'mother earth’ deities dominates the shelters and the full moon nightscape of Dickens’ passage to them. A wedge-tailed eagle hovers above a footprint, coming to signify the hovering circle of eagles over the Guugu-yalanji people’s historic handover ceremony at the nearby Laura Aboriginal Dance Festival that year”. O’Riordan continues, “for brevity’s sake, it is not possible to detail all of the works in “Jowalbinna”. Each one celebrates a dream-like revelation through country whose spiritual and natural heritage can only inspire profound awe and respect. There’s a kind of magic in the way that Dickens connects with this country, though she was, like a tourist, experiencing it for the first time.”  Dickens had a residency in Brewarrina in 1995 where she worked with 10 local children on a 16-metre mural. In 1997 she was the artist in residence at the University of Technology Sydney (UTS), Sydney and spent three months in Cape York, Queensland. In 1998 she had a two-month residency in Guardella, Italy. In 2006 Dickens was the recipient of the Bundjalung Art Award and the People’s Choice Award for her work in the “Our Spirit, Our Country” exhibition. 


"
Peter Dombrovskis,"
 Peter Dombrovskis was born in 1945 to Latvian parents Karl and Adele. In 1950 Dombrovskis and his mother left Europe for Sydney. The following year, they travelled to Hobart which would become an important place for Dombrovskis and where he would spend most of his adult life. They briefly lived at Aldridge Lodge in Hobart, the home of Joan Allport, before settling in Fern Tree, a suburb situated on the shoulder of Mount Wellington. Adele possessed a great passion for the wild and the two spent much of Dombrovskis’ childhood walking in the Tasmanian woods and rainforest gullies.  Dombrovskis was influenced by the Lithuanian-Australian photographer and conservationist Olegas Truchanas whom he met when he was about seventeen years old. Truchanas introduced Dombrovskis to many outdoor pursuits including skiing and canoeing. They developed a close friendship and Dombrovskis is noted for describing himself as Truchanas’ disciple. Truchanas died in 1972 and at this point Dombrovskis asserted his intentions to carry on from where his friend left off – to finish the work Truchanas had started.   Dombrovskis’ first photographic publication was a calendar of images of urban, rural and wilderness areas of Tasmania for the year 1973 which sold out upon its release. The following year he married Gabrielle and they had five children together: Olivia, Nicholas, David, Timothy and Monica.  In 1977 he published his first calendar featuring purely wilderness photographs and his first book, The Quiet Land. The same year, Dombrovskis founded the company, West Wind Press. In 1979 he began to work with Robert Poole, a designer and printer from Melbourne, who would continue to play an active role in Dombrovskis’ wilderness photography publications.  Throughout his life Dombrovskis was intimately involved with the natural environment, not only through photography, but also through exploration, this included walking and canoeing along the rivers he photographed. He was an environmentalist and a conservationist and was deeply saddened by the onset of logging in Tasmania’s ancient forests and the destruction of natural areas through damming projects (Dombrovskis, 1998). He was heavily involved with the 1982 No Dams movement led by the Tasmanian Wilderness Society and Bob Brown (inaugural Parliamentary Leader of the Australian Greens Party). His photograph Morning Mist, Rock Island Bend, Franklin River (1979), of the forested banks of Newland Cascades, appeared in a number of newspapers, including the Sydney Morning Herald and the Age (Melbourne), in the form of a full-page, colour advertisement accompanied by the question, “Could you vote for a party that would destroy this?” This image, like many of Dombrovskis’ photographs, served to drawn attention to wilderness regions of Tasmania under threat. Dombrovskis married his second wife, Liz, in 1987. She had two children from a previous marriage: Ben and Anna.  Dombrovskis was given a 35mm Zeiss camera by Adele at age six; he then moved to a Rolleiflex SL66 and, eventually, to the Linhof Master Technika 5×4 inch flatbed field camera with which he took most of his mature photographs. The practice of using a camera such as the Linhof was similar to the unwieldy process of nineteenth-century photography; it was large and cumbersome and had to be mounted on a tripod in order to take a photograph. Dombrovskis restricted himself to the use of only three lenses: a 90mm Nikkor F4.5, a 150mm Schneider Symar-S and a 300mm Nikkor MF9. He used the medium of colour photography throughout his career.   Dombrovskis’ images possess grandeur and a monumental quality. There is an echo of the sublime character of nature throughout his work, fuelled by his belief in the necessity of preserving the wild world for posterity. Bob Brown has referred to Dombrovskis’ photography as an art born out of a sense of ethics. Dombrovskis’ photography was influenced by other artists, including American environmental photographers Ansel Adams, Edward and Brett Weston and Eliot Porter.  On 28 March 1996, while photographing the Western Arthur Range in Southwest Tasmania, Dombrovskis died of heart failure at the age of fifty-one. After his death, Dombrovskis’ second wife, Liz Dombrovskis, continued to publish his work through the West Wind Press until her retirement in July 2009.  In February 2003 Dombrovskis received the posthumous honour of being inducted into the International Photography Hall of Fame in Oklahoma City, USA. He is the first Australian to receive this award.   Dombrovskis’ work is included in collections of the National Library of Australia, the National Gallery of Australia, the Australian Heritage Commission, the National Gallery of Victoria, Queen Victoria Museum and Art Gallery, Tasmanian Museum and Art Gallery, the Royal Tasmanian Botanical Gardens and the Wilderness Gallery, as well as in many private collections.


"
Ken Done,"
This record is a stub. You can help out by adding more detail.


"
Julie Dowling,"
Julie Dowling is a Perth based painter of Kalaamaya descent. In 1989 she obtained a Diploma of Fine Art from the Claremont School of Art in Perth; in 1992 she gained her Bachelor of Fine Art from Curtin University and in 1995 she was awarded an Associate Diploma in Visual Art Management from Perth Metropolitan TAFE.
She has exhibited her works in many solo and group shows since 1993 including 'Culture Warriors’ (2007), 'Colour Power: Aboriginal art post 1984’ (2004), 'Holy Holy Holy’ (2004), Urban Blackness (2002) 'Strange Fruit: Testmony and Memory in Julie Dowling’s Portraits’ (2007) and 'Oottheroongoo (Your Country) Multi Media Installation’ (2008).
Dowling has works in the permanent collections of many Australian art institutions including the National Gallery of Australia, the National Gallery of Victoria, the Art Gallery of Western Australia and the Museum and Art Gallery of the Northern Territory.
This entry is a stub. You can help the DAAO by submitting a biography.


"
Russell Drysdale,"
Sir George Russell Drysdale was born on 7 February 1912 at Bognor Regis in England. His father, also called George Russell Drysdale who led a private life, was the son of George Russell, the pioneer pastoralist who had with his brothers established the Pioneer Sugar mill on the Burdekin River in far north Queensland. His mother, Isobel Gates, was English. In 1919 the family returned to Australia, to the Pioneer plantation. Then, in 1923 they moved to Melbourne where the young Tas, as he was called by family and friends, was sent to Geelong Grammar School. In 1929, his last year of school, Drysdale was discovered to have a detached retina in one eye. As a way of encouraging him to focus, he was given extensive drawing lessons, five days a week.The following year he stayed on another family property at Boxwood, in the Riverina district to help with the shearing before travelling north to Pioneer. His first European travel as an adult was with his uncle Cluny Drysdale in 1931. On his return to Australia he had decided to be a farmer, and settled on the family farm at Boxwood.However when he was in Melbourne recovering from a further eye operation, his surgeon showed some of his drawings to Daryl Lindsay, who suggested that he take art classes with George Bell. When Bell encouraged him to look at modern (Post-Impressionist) art, Drysdale was less than impressed. However on his next journey to Europe in 1932, he saw enough modern art to convince him to move towards a more liberated style, albeit one firmly based in the European academic tradition.In 1935 he married Elizabeth (Bon) Stephen, a friend of Macquarie Gallery’s Lucy Swanton, who encouraged him in his art. After further eye surgery Drysdale renewed his classes with George Bell, and became a friendly rival with fellow student Peter Purves Smith.In 1938 they travelled again to London and Drysdale enrolled in classes with Iain Macnab at the Grosvenor School. He also joined Peter Purves Smith in his Paris studio and painted there with him. The threat of war caused them to return to Australia. In Melbourne Drysdale shared George Bell’s studio, but disliked the acrimonious politics of the Contemporary Art Society. He was now blind in one eye and was not allowed to enlist in the army. Instead he tried managing Boxwood, but realised that he lacked the necessary skills so the family moved to Sydney, and art. The 1940s to the early 1960s were his most productive years. He travelled to the old gold mining town of Hill End and neighbouring Sofala and immortalised the sparse townships of the outback. He drew the devastation of the El Nino drought of the 1940s and turned it into Henry Moore influenced deep red-toned landscape paintings. He honoured the aspirations of the Aboriginal people of the far north, and the harsh life of outback Australians.He did not ignore the family business. In 1947 he joined the Board of Pioneer Sugar Mills, and often visited the property up north which he called his bq). Spiritual homebq). . Russell Drysdale, along with Sidney Nolan, came to characterise the international face of Australian art in the early 1950s. He had frequent successful exhibitions in London, and his work was purchased by both the Tate and the Metropolitan Museum of Art in New York. In 1960 the Art Gallery of New South Wales organised the first scholarly retrospective of his work.His private life was not so fortunate. The suicide of his son Tim in July 1962 was followed by that of his wife Bon in November 1963. Seven months later he married Maisie, the widow of his friend Peter Purves Smith. They bought land outside Gosford on the NSW Central Coast, and there built Bouddi Farm, a place to live and to work. There was little art made in his last years, but he was active as both a member of the Commonwealth Art Advisory Board and the Trustees of the Art Gallery of New South Wales. He was knighted for his services to art in 1969 and died of cancer on 29 June 1981.


"
Brian Dunlop,"
Brian Dunlop was born in Sydney, the son of British parents who had emigrated because of the Great Depression. He later described his father as “a bit of a Calvinist”. On leaving school after the Intermediate Certificate in 1954 he was awarded a scholarship to the state-funded National Art School in Darlinghurst, which meant that his parents encouraged his studies as a way of escaping his working class origins.
He instinctively used the human scale as a way of defining space and proportion, which meant that he readily absorbed the Charm School style promoted by the school’s teachers. Dunlop’s fine drawing style and carefully modulated tonality won him considerable attention in the earlier part of his career. In 1958, the year he completed art school, he was awarded the Le Gay Brereton Prize for drawing, and in 1962 had his first work (a drawing) purchased by the Art Gallery of New South Wales.The same year he travelled to Europe, where he spent most of his time in Italy but also travelled to Greece, Majorca, North Africa and London. He returned to Australia convinced that the humanist values of the Renaissance artists were the right ones to guide his future career. For some years Dunlop was able to supplement his income as an artist with teaching part-time at the National Art School. When that was downgraded to a technical college in the 1970s, he taught at Alexander Mackie College of Advanced Education. Formal teaching ended in 1980 when he became artist in residence at the University of Melbourne. The following year he was awarded the Sulman Prize for his painting of the interior of the Old Physics Building.Dunlop divided his time between Sydney and Ebenezer in NSW and Panton Hill and Port Fairy in Victoria. His careful compositions, where people are defined by their context made him especially popular as a portrait painter. He was not especially enamoured of portrait commissions, preferring to concentrate on landscapes, still lives and architectural interiors, and was known to dismiss portraits as “hack work”.
 For some commissions however, he travelled. In 1984 he travelled to London, to paint the official Victorian Sesquicentenary portrait of queen Elizabeth. The Queen wears in a bright yellow dress, sitting in front of a white panelled door, balanced by and intricate golden patterned  wallpaper. It is clear that he sees her body as an element in an overall composition, and it is no surprise to discover that while she only had brief sittings for the portrait, he spent a great deal of time painting the wallpaper. Despite, or perhaps because of this, Dunlop’s royal portrait is an especially satisfying work.In his later years Brian Dunlop was one of a small group of artists fostered by Eva Breuer, and exhibited regularly with her until his death.


"
Max Dupain,"
Max Dupain (1911-1992)was Australia’s most important photographer between Harold Cazenoux and David Moore and John Gollings. The photographer of choice for most leading Sydney architects from the 1950s to the 1980s. Preferred black and white silver gelatin prints or 35mm colour slides to medium and large format transparencies. Dupain’s own house (shared with another noted photographer, his first wife Olive Cotton) was designed by Arthur Baldwinson in the mid 1950s. Books with substantial quantities of Dupain photographs include: Max Dupain, Old Colonial Buildings of Australia, Methuen 1980; Peter Johnson, Leslie Wilkinson: A Practical Idealist, Unwin Hyman 1983; Gael Newton, Max Dupain, David Ell Press 1980; James Broadbent, Clive Lucas and Ian Stapleton, The Golden Decade of Australian Architecture: The Work of John Verge, David Ell Press 1978, and Francis Greenway: A Celebration, Cassell Australia 1980.Sources—Various websites accessed on a Google search October 2004.


"
Michal Dutkiewicz,"
painter, illustrator and comic strip artist, was born and works in Adelaide, son of Wladyslaw Dutkiewicz , an abstract painter who gave him art lessons as a child. Much later he decided to draw comics. In 1974 he withdrew from tertiary studies and spent a year with the SA Theatre youth workshops before becoming involved with the Royal South Australian Society of Arts, with which he regularly exhibited 1976-90. At the same time he was working as a freelance illustrator and designer. His involvement in Australian comics is both as a maker and collector. He has also worked on US comics including Superman – Man of Steel (DC Comics #42) and Batman Forever . He won the 1991 Stanley for 'Best Adventure Strip Artist’. SLNSW ML has his 1984 original title page for The Dragon’s Lair.
This entry is a stub. You can help the DAAO by submitting a biography.


"
Sandy Edwards,"
Documentary photographer and photography curator Sandy Edwards was born in Bluff, New Zealand, 1948, and arrived in Sydney in 1961.
This entry is a stub. A full bio is coming.


"
Jeannie Nungarrayi Egan,"
Born in 1948 and a Warlpiri speaker, Jeannie Egan is one of the younger women painters at Yuendumu who joined the group of senior women painting at Yuendumu in 1987. She rapidly emerged with a distinctive style of strong narrative elements, boldly outlined in basic earth colours. In September 1987, only a month after she first exhibited with Warlukurlangu Artists at the Reconnaissance Gallery in Melbourne, she won the National Aboriginal Art Award and the Rothman’s Foundation Award for the best artwork in introduced media. Since then, her work has been included in many exhibitions of Warlukurlangu Artists in capital cities around Australia. Her Dreamings are Wanakiji (Bush Plum), Yarumayi (White Ochre), Miinypa (Native Fuschia) and Parlukurlangu (Giant). Her 1987 painting of the Goanna Dreaming at the site of Yarumayi was included in Images of Religion in Australian Art in 1988-9 and in Mythscapes in September 1989, both at the National Gallery of Victoria. Her work is also reproduced in Contemporary Aboriginal Art: from the Robert Holmes à Court Collection , (ed. A. Brody (Heytesbury Holdings, Perth, 1990). She has completed a major trilogy setting out the entire Milky Way Dreaming narrative. She also worked on a 7 × 3 m canvas by 42 of Yuendumu’s artists commissioned by Prof. H. Antes of Berlin, which formed part of the 1993 touring exhibition Aratjara – Art of the First Australians . Collections: National Gallery of Australia, Canberra, National Gallery of Victoria, Art Gallery of New South Wales, Art Galleries & Museums of Northern Territory, Akademie Der Kunst, Berlin, Christensen Fund, Holmes à Court, Musée des Arts Africains et Oceaniens, Paris, many private collections in Australia and overseas


"
Bonita Ely,"
Bonita Ely established her reputation as an environmental artist in the early 1970s through her work on the Murray Darling rivers. She has a diverse practice across various media and has often addressed feminist, environmental and socio-political issues. Dr Ely is Head of the Sculpture, Performance and Installation Department at COFA, University of New South Wales, where she is a founding member of the Environmental Research Institute for Art (ERIA).
This entry is a stub. A full bio is comin g.


"
Vanessa Fisher,"
Vanessa Fisher of the Dungibara, Ewamin, Garumngar Jiman people of Cherbourg, Southern Queensland was born in 1954 and works as a painter, printer and muralist. Her work is in the collections of the National Museum of Australia, Queensland Museum and the Powerhouse Museum in Sydney. She participated in the 2001 exhibition “Gatherings, Contemporary Aboriginal and Torres Strait Islander Art from Queensland, Australia” held in Brisbane.
This entry is a stub. You can help the DAAO by submitting a biography.


"
Cedric Flower,"
painter, illustrator, cartoonist and writer, was born in Sydney on 22 August 1920. He studied art with Dattilo Rubbo. Although best known as a painter and illustrator of historical subjects, he had cartoons in Australia: National Journal and in Australia Week-end Book 1 (1942) during World War II, e.g. Shearer’s Cook .
This entry is stub. You can help the DAAO by submitting a biography .


"
Joanna Flynn,"
printmaker, born WA. Her etchings illustrated in Roger Butler, My Head is a Map: A decade of Australian Prints (Canberra: National Gallery of Australia [NGA] catalogue, 1992) include One Hundred Skeletons [at feast], 1989, etching and aquatint (NGA) and One Hundred Stone Breakers 1989, etching, aquatint, roulette (NGA). Tasmanian Museum and Art Gallery has Gulliver edn 22/30 (sort of Stalin head surrounded by girls), one of the prints by 11 artists chosen by Katrina Rumley for the Print Council of Australia’s (PCA) print subscribers’ edn 1992, ill. Imprint 27/2 (spring 1992), 15. See also Jo Flynn, Island , PCA catalogue, Melbourne, 1989. Very intricate work, but not cartoons.
This entry is a stub. You can help the DAAO by submitting a biography.


"
Fiona Foley,"
 Fiona Foley, printmaker, painter, sculptor and photographer was born in Maryborough, Queensland in 1964 and raised in nearby Hervey Bay. These towns and nearby Fraser Islander are all part of her traditional country. Foley grew up surrounded by the stories of her family, the Wondunna clan of the Badtjala people and was influenced by the book, The Legends of the Moonie Jarl (Jacaranda Press, Brisbane, 1964) that was written by her great uncle Wilf Reeves and illustrated by her great aunt, Olga Miller. In 1983 Foley graduated from East Sydney Technical College with a Certificate in Art. From 1984 to 1986 she studied for her Bachelor of Visual Arts at Sydney College of the Arts. In 1987 Foley completed her formal training with a Diploma of Education from the University of Sydney. Foley, along with nine other artists that included Michael Riley, Bronwyn Bancroft and Tracey Moffatt, was a founding member in 1987 of Boomalli Aboriginal Artists Cooperative in Sydney. Boomalli’s aim was to promote the work of Aboriginal artists who did not live in the remote areas of Australia or were supported through federally funded arts centres. Boomalli went on to become the launching pad for many now successful artists besides the founding members. Foley’s portfolio of etchings, paintings, photography and sculpture have afforded her significant recognition as a contemporary artist. Since winning the commission of the Historic Houses Trust of NSW in 1994 to work on the installation The Edge of Trees with Janet Laurence, situated outside the Museum of Sydney, Foley has become known as a successful public artist. She has since been the commissioned artist for other public art projects including, The Lie of the Land, 1997 at the Melbourne Museum and Witnessing to Silence at the Brisbane Magistrates Court in 2004. Her photographic, printing, painting and public art works often speak of the untold and hidden histories of Australia in terms of the colonial interaction with Aboriginal people. Witnessing to Silence informs its audience of Queensland’s documented history of Aboriginal massacres while Black Opium (2006, State Library of Queensland) speaks of Queensland’s 'Aboriginal Protection and Restriction of the Sale of Opium Act 1897’ in which the supply and sale of opium to Aboriginal people was stringently legislated against alongside the recommendations to establish Reserves in which Queensland Aboriginal people were forcibly removed to. Foley is one of Australia’s successful international artists whose work is often included in important group exhibitions such as “Global Feminism”, 2007 at the Brooklyn Museum in New York City, USA or solo shows such as “Strange Fruit”, 2006 at the October Gallery in London, England. It is not only Foley’s artwork that is in demand. Her thoughts on Australian history and politics are also being sought and in September 2007 Foley presented a keynote address at the 9th Biennial European Association for Studies of Australia at the University of Copenhagen, Denmark. Other speakers at this conference were Germaine Greer and Mark McKenna from the University of Sydney. Foley works from her home base of Brisbane, Queensland and continues to generate solo exhibitions based on historical, political and social issues of Australian life as well as continuing her career as a public artist. 


"
Leonard French,"
This record is a stub. You can help out by adding more detail.


"
Donald Friend,"
painter, illustrator and cartoonist, son of L.W. Friend, was educated at Cranbrook, Sydney. After leaving school he spent a year as a jackeroo on his father’s property at Singleton, then returned to Sydney and studied art with Dattilo Rubbo and Sydney Long. In 1936 he was living with his 'companion’ Don Murray in an 80 year-old stable in High Street, Woollahra, with a modernistic fresco painted on its walls – called 'a Bohemia that has gone Japanese’. He was friendly with a group of young gay artists, Wolfgang Cardamatis, Wallace Thornton and Michael Brown, who lived in the stables opposite owned by the painter Mary Edwards; all were keen to go to Europe to seek fame ( Smith’s Weekly 15 August 1936, 10). In fact, they went to war. Friend’s wartime cartoons and story illustrations (reproduced artworks, not direct commissions) appeared in Australia: National Journal and Australia Week-end Book 1 (1942). The latter includes “There goes Ellen, off to her war work” (a dove with a bomb in its beak) and '“I see you admire my orchids, Colonel!” (on low evening dress at a wild party)./ “Tell me, Countess, are they Spectabile Grandiflora or Pendula?”’
He also wrote and illustrated I Go to War , 22-24, and The Door , 110. Other small drawings appeared in vol.3 of the Week-end Book (1944), e.g. p.81. He also contributed drawings to the Home , e.g. people standing round a bush hut, “Now play something from Saties’ Le fils des etoiles”, December 1941, 43; people at a party with Bacchus and Venus, “And now that the seance is concluded, Madame Zara, I wonder if you would be good enough to de-materialise Bacchus and Venus before we have our tea?” March 1941, 13; at a wild party in a garret, “I always say, the world would be a very dull place if we all thought alike” 1 February 1941, 17; family picnic with bombs going off everywhere: “Something always happens when we picnic – Last year Annie sat on an ants’ nest!” 1 December 1941, 42; story and illustrations about an awful party and a talking horse, Life is so rich 1 September 1941, 34-35.
Friend illustrated Ron Saw’s Brief Encounters (Cammeray, NSW: Richard Griffin, 1984) and many other books. He also made etchings, e.g. Birthday Party , Beach Bikies , No Room at the Inn and Chez DF (self portrait: ill.), all c.1987 (edn 50), Josef Lebovic Gallery (1996), and he wrote and illustrated his own books, although he is, of course, best known as a painter. His historical painting, The Arrest of Governor Bligh n.d., oil and gold leaf on board, was offered at Christie’s auction, part 1, on 26 November 1996, lot.118 (ill.).


"
