address_prompt,location,point,latitude2,longitude2,altitude2
"Adelaide, SA","Adelaide, Adelaide City Council, South Australia, Australia","(-34.9281805, 138.5999312, 0.0)",-34.9281805,138.5999312,0.0
"Pittsburg, Pennsylvania, USA","Pittsburgh, Allegheny County, Pennsylvania, United States","(40.4416941, -79.9900861, 0.0)",40.4416941,-79.9900861,0.0
"Bunker Cartoon Gallery, Coffs Harbour, New South Wales","Bunker Cartoon Gallery, John Champion Way, Coffs Harbour, Coffs Harbour City Council, New South Wales, 2450, Australia","(-30.3049625, 153.1211758, 0.0)",-30.3049625,153.1211758,0.0
"Comedy Theatre, Manchester, England",,,,,
"Bendigo Art Gallery, Bendigo, VIC","Bendigo Art Gallery, 42, View Street, Bendigo, City of Greater Bendigo, Victoria, 3550, Australia","(-36.75734815, 144.27683511891263, 0.0)",-36.75734815,144.27683511891263,0.0
"Centennial Park, Sydney, NSW","Centennial Park, Sydney, Randwick City Council, New South Wales, 2021, Australia","(-33.8977778, 151.2338889, 0.0)",-33.8977778,151.2338889,0.0
"Cairns Regional Art Gallery, Cairns, Qld.",,,,,
"Sydney, New South Wales","Sydney, Council of the City of Sydney, New South Wales, Australia","(-33.8698439, 151.2082848, 0.0)",-33.8698439,151.2082848,0.0
"Melbourne, Victoria","Melbourne, City of Melbourne, Victoria, Australia","(-37.8142176, 144.9631608, 0.0)",-37.8142176,144.9631608,0.0
"University of Melbourne, Melbourne, Vic","University of Melbourne, Carlton, Melbourne, City of Melbourne, Victoria, Australia","(-37.8038271, 144.9597056360034, 0.0)",-37.8038271,144.9597056360034,0.0
"Gosford Regional Arts Centre, NSW","Gosford Regional Gallery & Arts Centre, Adelaide Street, East Gosford, Gosford, Central Coast Council, New South Wales, 2250, Australia","(-33.4416227, 151.351703, 0.0)",-33.4416227,151.351703,0.0
"Macquarie University Art Gallery, Macquarie Park, NSW","Macquarie University Art Gallery, 19, Eastern Road, Macquarie Park, Sydney, Council of the City of Ryde, New South Wales, 2109, Australia","(-33.7725373, 151.1151231, 0.0)",-33.7725373,151.1151231,0.0
"Liverpool, England, UK","Liverpool, Liverpool City Region, England, United Kingdom","(53.4071991, -2.99168, 0.0)",53.4071991,-2.99168,0.0
"Massachusetts College of Art Huntington Gallery, Boston, USA",,,,,
"Benaki Museum, Athens, Greece","Μουσείο Μπενάκη (Κτήριο Οδού Πειραιώς), 138, Πειραιώς, Συνοικία Κάτω Πετραλώνων, Κάτω Πετράλωνα, 3η Κοινότητα Αθηνών, Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 118 54, Ελλάς","(37.9744745, 23.70860313310437, 0.0)",37.9744745,23.70860313310437,0.0
"Berlin, Germany","Berlin, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599,0.0
"Paris, France","Paris, Île-de-France, France métropolitaine, 75007, France","(48.8534951, 2.3483915, 0.0)",48.8534951,2.3483915,0.0
"Manly Art Gallery & Museum, Manly, Sydney, NSW","Manly Art Gallery And Museum, Manly to Spit Bridge Walk, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2095, Australia","(-33.798468, 151.2812893, 0.0)",-33.798468,151.2812893,0.0
"Global Arts Link, Ipswich, Queensland (and touring, including Australian War Memorial, Canberra, ACT",,,,,
"Albert Hall, Canberra, ACT","Albert Hall, Kaye Street, Yarralumla, Canberra, District of Canberra Central, Australian Capital Territory, 2600, Australia","(-35.2975104, 149.12504300066053, 0.0)",-35.2975104,149.12504300066053,0.0
"University of Wollongong, Wollongong, NSW","University of Wollongong, O'Leary Road, Keiraville, Wollongong City Council, New South Wales, 2500, Australia","(-34.40505545, 150.87834654727789, 0.0)",-34.40505545,150.87834654727789,0.0
"London, England, UK","London, Greater London, England, United Kingdom","(51.5073359, -0.12765, 0.0)",51.5073359,-0.12765,0.0
"Boomalli Aboriginal Artists Cooperative, Sydney, NSW",,,,,
"Casula Powerhouse Arts Centre, Casula, NSW","Casula Powerhouse Arts Centre, 1, Parramatta to Glenfield Rail Trail, Casula, Liverpool, Sydney, Liverpool City Council, New South Wales, 2170, Australia","(-33.9494218, 150.9128418, 0.0)",-33.9494218,150.9128418,0.0
"Museum of Contemporary Art, Sydney, NSW","Museum of Contemporary Art, George Street, The Rocks, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia","(-33.8600913, 151.2089506947579, 0.0)",-33.8600913,151.2089506947579,0.0
"National Museum of Australia, Canberra, ACT","National Museum of Australia, Lawson Crescent, Acton, Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia","(-35.292942999999994, 149.1213581531726, 0.0)",-35.292942999999994,149.1213581531726,0.0
"Roar 2 Studios, Fitzroy, Vic.",,,,,
"Friends of the Earth Gallery, Fitzroy, Melbourne, Vic.",,,,,
"Perc Tucker Gallery, Townsville, Qld.","Perc Tucker Gallery, Alexandra Arcade, Townsville City, Townsville, Townsville City, Queensland, 4810, Australia","(-19.2581929, 146.8179436, 0.0)",-19.2581929,146.8179436,0.0
"Australian National Museum, Canberra, ACT",,,,,
"Beijing, China","北京市, 东城区, 首都功能核心区, 北京市, 100010, 中国","(39.9057136, 116.3912972, 0.0)",39.9057136,116.3912972,0.0
"Washington, USA","Washington, District of Columbia, United States","(38.8950368, -77.0365427, 0.0)",38.8950368,-77.0365427,0.0
"Great Northern Arts Festival, Inuvik, Canada",,,,,
"Dell Gallery, Griffith University, Brisbane, QLD",,,,,
"Queensland Art Gallery, Brisbane, QLD","Queensland Art Gallery, Stanley Place, South Bank, South Brisbane, Greater Brisbane, Queensland, 4101, Australia","(-27.472575, 153.01856075208468, 0.0)",-27.472575,153.01856075208468,0.0
"Global Arts Link, Ipswich, QLD",,,,,
"Toowoomba University Gallery, Toowoomba, QLD",,,,,
"Brisbane City Council Gallery, Brisbane, QLD",,,,,
"Heidelberg, Dusseldorf, Hamburg, Berlin,  (Germany), Stockholm,  Uppsala (Sweden), Vancouver, Victoria Island (Canada), Hong Kong                 - '",,,,,
"Foundation for Aboriginal Affairs, Sydney, NSW",,,,,
"Bundaberg Regional City Gallery, Bundaberg, QLD",,,,,
"Gladstone Regional City Gallery, Gladstone, QLD",,,,,
"Moree Regional Gallery, Moree, NSW",,,,,
"Caulfield Arts Centre, Melbourne, VIC",,,,,
"Capricornia Institute of Advanced Education, Rockhampton, QLD",,,,,
"Townsville Regional Gallery, Upstairs For Art, Townsville, QLD",,,,,
"Jedda Gallery, Surfers Paradise, Gold Coast, QLD",,,,,
"Kunstamlung, Germany; Hayward Gallery UK; Louisiana Museum of Modern Art, Denmark",,,,,
"Coo-ee Gallery, Darlinghurst, Sydney, NSW",,,,,
"Macquarie Galleries, Sydney, NSW",,,,,
"Powerhouse Museum, Sydney, NSW","Powerhouse Museum (501), Harris Street, Ultimo, Sydney, Council of the City of Sydney, New South Wales, 2007, Australia","(-33.8789196, 151.1993556, 0.0)",-33.8789196,151.1993556,0.0
"New England Regional Art Museum, Armidale, NSW","New England Regional Art Museum, Kentucky Street, South Hill, Armidale, Armidale Regional Council, New South Wales, 2350, Australia","(-30.525260250000002, 151.66486293938715, 0.0)",-30.525260250000002,151.66486293938715,0.0
"Benalla Art Gallery, Benalla , Vic.","Benalla Art Gallery, Bridge Street Service Road, Benalla, Rural City of Benalla, Victoria, 3672, Australia","(-36.552212, 145.97953270297253, 0.0)",-36.552212,145.97953270297253,0.0
"Ian Potter Museum of Art, University of Melbourne, Melbourne, Vic.",,,,,
"Hobart, Tas","Hobart, City of Hobart, Tasmania, Australia","(-42.8825088, 147.3281233, 0.0)",-42.8825088,147.3281233,0.0
"The National Museum of Art, Osaka, Japan","国立国際美術館, 筑前橋 (Chikuzen-bashi Bridge), 中之島四丁目, 北区, 大阪市, 大阪府, 530-6103, 日本","(34.691658000000004, 135.49218720027312, 0.0)",34.691658000000004,135.49218720027312,0.0
"Dusseldorf, Germany","Düsseldorf, Nordrhein-Westfalen, Deutschland","(51.2254018, 6.7763137, 0.0)",51.2254018,6.7763137,0.0
"Union Gallery, Moscow, Russia",,,,,
"Utopia Art, Sydney, NSW",,,,,
"Depot Gallery, Danks Street Depot, Sydney, NSW",,,,,
"Max Bernstein Gallery, Melbourne, Vic.",,,,,
"Centre for Contemporary Photography, Melbourne, Vic.","Centre for Contemporary Photography, 404, George Street, Fitzroy, Melbourne, City of Yarra, Victoria, 3065, Australia","(-37.797314650000004, 144.9823961747878, 0.0)",-37.797314650000004,144.9823961747878,0.0
"Karen Woodbury Gallery, Melbourne, Vic.",,,,,
"Karen Woodbury Gallery Melbourne, Vic.",,,,,
"Worcester Art Museum, Massachusetts","Worcester Art Museum, 55, Salisbury Street, Lincoln Square, Belmont Hill, Worcester, Worcester County, Massachusetts, 01605, United States","(42.273033600000005, -71.80197702909331, 0.0)",42.273033600000005,-71.80197702909331,0.0
"Royal Easter Show, Sydney Olympic Park, Homebush, Sydney, NSW",,,,,
"Fountain Court, NSW Parliament House, Sydney, NSW",,,,,
"Asia Society Gallery, New York, USA",,,,,
"Gallery Mattar, Cologne",,,,,
"First Draft Gallery, Sydney, NSW",,,,,
"Roslyn Oxley9 Gallery, Sydney, NSW","Roslyn Oxley9 Gallery, Soudan Lane, Five Ways, Paddington, Eastern Suburbs, Sydney, Woollahra Municipal Council, New South Wales, 2021, Australia","(-33.8826261, 151.2340556, 0.0)",-33.8826261,151.2340556,0.0
"Chrissie Cotter Gallery, Sydney, NSW","Chrissie Cotter Gallery, Pidcock Street, Camperdown, Inner West, Sydney, Inner West Council, New South Wales, 2050, Australia","(-33.8878606, 151.1762494, 0.0)",-33.8878606,151.1762494,0.0
"Royal Exhibition Building, Melbourne, VIC","Royal Exhibition Building, 9, Nicholson Street, Carlton, Melbourne, City of Melbourne, Victoria, 3065, Australia","(-37.8046748, 144.9714691146325, 0.0)",-37.8046748,144.9714691146325,0.0
Queensland,"Queensland, Australia","(-22.1646782, 144.5844903, 0.0)",-22.1646782,144.5844903,0.0
"Watters Gallery, East Sydney, New South Wales",,,,,
"Salamanca Arts Centre, Hobart, Tas.","Salamanca Arts Centre, Woobys Lane, Battery Point, Hobart, City of Hobart, Tasmania, 7004, Australia","(-42.887096299999996, 147.33387028052593, 0.0)",-42.887096299999996,147.33387028052593,0.0
"Perc Tucker Regional Art Gallery, Townsville, Qld",,,,,
"Josef Lebovic Gallery, Paddington, Sydney, NSW",,,,,
"Gosford Regional Art Gallery, Gosford, NSW",,,,,
"Gosford, NSW","Gosford, Central Coast Council, New South Wales, 2250, Australia","(-33.4250175, 151.3417318, 0.0)",-33.4250175,151.3417318,0.0
"Cultural Olympiad of the Athens Olympics Games, Benaki Museum, Athens",,,,,
"City Gallery, Melbourne Town Hall, Melbourne, VIC",,,,,
"Australian Embassy, Paris, France",,,,,
"Manly Art Gallery and Museum, Sydney, NSW","Manly Art Gallery And Museum, Manly to Spit Bridge Walk, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2095, Australia","(-33.798468, 151.2812893, 0.0)",-33.798468,151.2812893,0.0
"Gasworks, Melbourne, Vic.","Gasworks Arts Park, Albert Park, Melbourne, City of Port Phillip, Victoria, Australia","(-37.84256765, 144.9469098597122, 0.0)",-37.84256765,144.9469098597122,0.0
"Museum of Sydney, NSW","Museum of Sydney, Bridge Street, Quay Quarter, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia","(-33.863764149999994, 151.2114793699776, 0.0)",-33.863764149999994,151.2114793699776,0.0
"Lake Burley Griffin, Canberra, ACT","Lake Burley Griffin, Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia","(-35.299100100000004, 149.07965936751117, 0.0)",-35.299100100000004,149.07965936751117,0.0
"Annandale Galleries, Sydney, NSW",,,,,
"MSB Bond Store, Sydney, NSW",,,,,
"Blaxland Gallery, Sydney, NSW",,,,,
"Sydney College of the Arts, Sydney, NSW","Sydney College of the Arts, Kirkbride Way, Lilyfield, Inner West, Sydney, Inner West Council, New South Wales, 2040, Australia","(-33.866276400000004, 151.16274540168126, 0.0)",-33.866276400000004,151.16274540168126,0.0
"Australian Centre for Contemporary Art, Melbourne, Vic.","Australian Centre for Contemporary Art, 111, Sturt Street, Southbank, Melbourne, City of Melbourne, Victoria, 3006, Australia","(-37.8266419, 144.9668874, 0.0)",-37.8266419,144.9668874,0.0
"John Heine Foundry Sydney, NSW",,,,,
"Pier 2/3, Walsh Bay, Sydney, NSW",,,,,
"Ivan Dougherty Gallery, Paddington, NSW",,,,,
"Hogarth Gallery, Sydney, NSW",,,,,
"Caulfield Arts Complex, Caulfield, Melbourne, VIC",,,,,
"Melbourne Fine Art Gallery, Melbourne, Victoria",,,,,
"Museum Hamelyn, Germany",,,,,
"Kerry Packer Civic Gallery, Adelaide, SA",,,,,
"Austral Hotel, Adelaide, SA",,,,,
"Gallery Gabrielle Pizzi, Melbourne, VIC",,,,,
"Centre Georges Pompidou, Paris, France","Centre Georges Pompidou, 19, Rue Beaubourg, Beaubourg, Quartier Saint-Merri, Paris 4e Arrondissement, Paris, Île-de-France, France métropolitaine, 75004, France","(48.860591799999995, 2.3524736024856843, 0.0)",48.860591799999995,2.3524736024856843,0.0
"Portsmouth Festival], Portsmouth, UK",,,,,
"Gryphon Gallery, Melbourne, Vic.",,,,,
"Laura Festival, Laura, QLD","Laura dance festival, Peninsula Developmental Road, Laura, Cook Shire, Queensland, Australia","(-15.6455251, 144.5308045, 0.0)",-15.6455251,144.5308045,0.0
"Decoration Galleries, Melbourne, Vic.",,,,,
"Union Street Gallery, Sydney, NSW",,,,,
"Upstairs Gallery, Sydney College of the Arts, Sydney, NSW",,,,,
"Dell Gallery, Queensland College of Art, Griffith University, Brisbane, Qld",,,,,
"Grosvenor Gallleries, Sydney, NSW",,,,,
Alice Springs,"Alice Springs, Town of Alice Springs, Northern Territory, Australia","(-23.6983884, 133.8812885, 0.0)",-23.6983884,133.8812885,0.0
"Orange Regional Gallery, Orange, NSW","Orange Regional Gallery, 149, Byng Street, Bowen, Orange, Orange City Council, New South Wales, 2800, Australia","(-33.2813301, 149.1034393, 0.0)",-33.2813301,149.1034393,0.0
"Boomalli Aboriginal Artists Cooperative, Annandale, NSW",,,,,
"Saint Louis Art Museum, Missouri, USA","Saint Louis Art Museum, 1, Fine Arts Drive, Saint Louis, Missouri, 63110, United States","(38.6394114, -90.2944862, 0.0)",38.6394114,-90.2944862,0.0
"Artspace, Canberra, ACT","M16 Artspace, Griffith, South Canberra, District of Canberra Central, Australian Capital Territory, 2603, Australia","(-35.32554395, 149.14279229487616, 0.0)",-35.32554395,149.14279229487616,0.0
"Monash University College, Melbourne, Vic.",,,,,
"Sotheby's, Melbourne, Vic.",,,,,
"Design Warehouse, Sydney, NSW",,,,,
"Westpac Gallery, Melbourne, VIC",,,,,
"New York, USA","City of New York, New York, United States","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
"Hobart, TAS","Hobart, City of Hobart, Tasmania, Australia","(-42.8825088, 147.3281233, 0.0)",-42.8825088,147.3281233,0.0
"Melbourne, VIC","Melbourne, City of Melbourne, Victoria, Australia","(-37.8142176, 144.9631608, 0.0)",-37.8142176,144.9631608,0.0
"Blacktown Arts Centre, Blacktown, NSW","Blacktown Arts Centre, Flushcombe Road, Blacktown, Sydney, Blacktown City Council, New South Wales, 2148, Australia","(-33.77265855, 150.90869674121157, 0.0)",-33.77265855,150.90869674121157,0.0
"Australian Defence Force Acadamy, ACT.",,,,,
"Boomalli Aboriginal Artists Co-operative, Sydney, NSW",,,,,
"Casula Powerhouse, Liverpool, NSW","Casula Powerhouse Arts Centre, 1, Parramatta to Glenfield Rail Trail, Casula, Liverpool, Sydney, Liverpool City Council, New South Wales, 2170, Australia","(-33.9494218, 150.9128418, 0.0)",-33.9494218,150.9128418,0.0
"Campbelltown City Art Gallery, Campbelltown, NSW","Campbelltown Arts Centre, 1, Art Gallery Road, Campbelltown, Sydney, Campbelltown City Council, New South Wales, 2560, Australia","(-34.07272735, 150.8087803136764, 0.0)",-34.07272735,150.8087803136764,0.0
"Mosman Art Gallery, Mosman, NSW","Mosman Art Gallery & Community Centre, Vista Street, Spit Junction, Mosman, Lower North Shore, Sydney, Mosman Municipal Council, New South Wales, 2088, Australia","(-33.82619845, 151.24050182530272, 0.0)",-33.82619845,151.24050182530272,0.0
"Sculptors Society, IBM Building, Sydney, NSW",,,,,
"Sculptors Society, MLC Building, Sydney, NSW",,,,,
"Sydney Show Ground Convention Centre, Sydney, NSW",,,,,
the Can,"甘樂食堂, 317, 清水街, 秀川里, 三峽區, 北大特區, 新北市, 23741, 臺灣","(24.9343664, 121.3722687, 0.0)",24.9343664,121.3722687,0.0
"New Arts Centre, Katoomba, NSW",,,,,
"Wentworth Falls School of Art, Wentworth Falls, NSW",,,,,
"Sculptors Society, Argyle Centre, The Rocks, Sydney, NSW",,,,,
"Katoomba, NSW","Katoomba, Sydney, Blue Mountains City Council, New South Wales, 2780, Australia","(-33.713759, 150.3121633, 0.0)",-33.713759,150.3121633,0.0
"Craft Expo Exhibition, Centre Point, Sydney, NSW",,,,,
"College of Fine Arts, Sydney, NSW","UNSW Art & Design, Albion Avenue, Five Ways, Paddington, Sydney, Council of the City of Sydney, New South Wales, 2021, Australia","(-33.8838375, 151.2202731177872, 0.0)",-33.8838375,151.2202731177872,0.0
"Cultural Olympiad, Athens, Greece",,,,,
"Australian Pavilion Sydney Olympic Games, Sydney, NSW",,,,,
"Newcastle Region Art Gallery, Newcastle, NSW",,,,,
"Boomalli Aboriginal Artists Co-operative, Annandale, NSW",,,,,
"Museum of Sydney, Sydney, NSW","Museum of Sydney, Bridge Street, Quay Quarter, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia","(-33.863764149999994, 151.2114793699776, 0.0)",-33.863764149999994,151.2114793699776,0.0
"Australian Museum, Sydney, NSW","Australian Museum, Cross City Tunnel, Darlinghurst, Sydney, Council of the City of Sydney, New South Wales, 2010, Australia","(-33.87434915, 151.2132563777954, 0.0)",-33.87434915,151.2132563777954,0.0
"Coo-ee Aboriginal Art Gallery, Sydney, NSW",,,,,
"North Adelaide School of Arts Gallery, Adelaide, SA",,,,,
"Balmain Community Centre, Balmain, NSW",,,,,
"S.H. Ervin Gallery, Sydney, NSW","S.H. Ervin Gallery, Cahill Expressway, Millers Point, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia","(-33.8613912, 151.2042793, 0.0)",-33.8613912,151.2042793,0.0
"Art Space, Surry Hills, NSW",,,,,
"Hogarth Galleries, Paddington, NSW",,,,,
"Barry Stern Galleries, Paddington, Sydney, NSW",,,,,
"Beaver Galleries, Canberra, ACT","Beaver Galleries, Calvary John James Hospital Service Road, Deakin, Canberra, District of Canberra Central, Australian Capital Territory, 2600, Australia","(-35.32073065, 149.0944464686902, 0.0)",-35.32073065,149.0944464686902,0.0
"Greenaway Art Gallery, Adelaide, SA",,,,,
"Grahame Galleries, Brisbane, Qld.",,,,,
"Axia Modern Art, Melbourne, Vic.",,,,,
