Calendar_Year,Aus_Population,Aus_Short term overseas visitor arrivals,Aus_Short term Australian resident departures,QLD_Overseas_Arrivals_Males_Total_movement,QLD_Overseas_Arrivals_Females_Total_movement,QLD_Overseas_Arrivals_Persons_Total_movement,QLD_Overseas_Departures_Males_Total_movement,QLD_Overseas_Departures_Females_Total_movement,QLD_Overseas_Departures_Persons_Total_movement,QLD_Males_Employed_000,QLD_Males_Looking for full-time work_000,QLD_Males_Looking for part-time work_000,QLD_Males_Total_000,QLD_Males_Labour force_000,QLD_Males_Not in labour force_000,QLD_Males_Civilian pop'n aged 15 years and over_000,QLD_Males_Unemployment rate_%,QLD_Males_Partic-ipation rate_%,QLD_Females_Employed_000,QLD_Females_Looking for full-time work_000,QLD_Females_Looking for part-time work_000,QLD_Females_Total_000,QLD_Females_Labour force_000,QLD_Females_Not in labour force_000,QLD_Females_Civilian pop'n aged 15 years and over_000,QLD_Females_Unemployment rate_%,QLD_Females_Partic-ipation rate_%,QLD_TotalPersons_Employed_000,QLD_TotalPersons_Looking for full-time work_000,QLD_TotalPersons_Looking for part-time work_000,QLD_TotalPersons_Total_000,QLD_TotalPersons_Labour force_000,QLD_TotalPersons_Not in labour force_000,QLD_TotalPersons_Civilian pop'n aged 15 years and over_000,QLD_TotalPersons_Unemployment rate_%,QLD_TotalPersons_Partic-ipation rate_%,QLD_Net interstate and overseas migration,QLD_Net interstate and overseas migration rate,QLD_InterstateMigration_Arrivals_To,QLD_InterstateMigration_Departures_from,QLD_Net interstate migration
1822,37364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,40632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,48072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,52505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,53882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,56300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,58197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,61934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,70039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,75981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,83937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,98095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,105556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,113354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,125120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,134488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,151868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,169939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,190408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,220968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,240984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,250848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,264287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,279148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,293249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,308797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,332328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,373362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,405356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,437665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,513796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,600992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,694917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,793260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,876729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,970287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,1050828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,1097305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,1145585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3778,146.5,,,
