date_range.date_end.year,date_range.date_end.month,date_range.date_end.day,date_range.date_start.year,date_range.date_start.month,date_range.date_start.day,place.address.ori_address,place.address.country,place.address.state,place.address.city,place.address.postcode,place.ori_dbid.$oid,place.ori_address,place._class_ori,place._class,place.geo_coord.latitude,place.geo_coord.longitude,name,event_id,place.ori_name,place.ori_country,place.display_name,place.address.suburb
2007,1,1,2007,1,1,"New South Wales, Parliament House, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19504b538b73d93000e7f,"NSW, Parliament House, Sydney, NSW",place,place,-33.8673829,151.2128852,"""Terrence Allen""",4da19504b538b73d93000e80,,,,
2005,1,1,2005,1,1,"Gamilarart Gallery, Tamworth, New South Wales",Australia,New South Wales,Tamworth,2340,4da1950db538b73d93001136,"Gamilarart Gallery, Tamworth, NSW",place,place,-31.091085,150.9303741,"""Georgina Altona""",4da1950db538b73d93001137,,,,
2006,1,1,2006,1,1,"Hordern Pavillion, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1950cb538b73d93001132,"Hordern Pavillion, Sydney, NSW",place,place,-33.8689009,151.2070914,"""Georgina Altona""",4da1950cb538b73d93001133,,,,
2006,1,1,2006,1,1,"New South Wales Parliament House, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19504b538b73d93000e8b,"NSW Parliament House, Sydney, NSW",place,place,-33.8673829,151.2128852,"""Georgina Altona""",4da196efb538b73d93009af5,,,,
2003,1,1,2003,1,1,"Byron Bay, New South Wales",Australia,New South Wales,Byron Bay,2481,4da1950db538b73d93001138,"Byron Bay, NSW",place,place,-28.6441616,153.6123788,"""Georgina Altona""",4da1950db538b73d93001139,,,,
2006,1,1,2006,1,1,"Tamworth Regional Gallery, Tamworth, New South Wales",Australia,New South Wales,Tamworth,2340,4da1950cb538b73d93001134,"Tamworth Regional Gallery, Tamworth, NSW",place,place,-31.091085,150.9303741,"""Georgina Altona""",4da1950cb538b73d93001135,,,,
1998,1,1,1998,1,1,"Canberra, Australian Capital Territory",Australia,Australian Capital Territory,Canberra,2600,4da1950eb538b73d9300128f,"Canberra, ACT",place,place,-35.3080556,149.1244444,"""Shirley Amos""",4da1950eb538b73d93001290,,,,
2001,1,1,2001,1,1,"Boomalli Aboriginal Artists Cooperative, Leichhardt, Sydney, New South Wales",Australia,New South Wales,Sydney,2040,4da1950eb538b73d93001289,"Boomalli Aboriginal Artists Cooperative, Leichhardt, Sydney, NSW",place,place,-33.8837787,151.1570527,"""Shirley Amos""",4da1950eb538b73d9300128a,,,,Leichhardt
2000,1,1,2000,1,1,"Sydney Olympic Games, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1950eb538b73d9300128d,"Sydney Olympic Games, Sydney, NSW",place,place,-33.8689009,151.2070914,"""Shirley Amos""",4da1950eb538b73d9300128e,,,,
1997,1,1,1997,1,1,"Boomalli Aboriginal Artists Cooperative, Leichhardt, Sydney, New South Wales",Australia,New South Wales,Sydney,2040,4da1950eb538b73d93001289,"Boomalli Aboriginal Artists Cooperative, Leichhardt, Sydney, NSW",place,place,-33.8837787,151.1570527,"""Shirley Amos""",4da1950eb538b73d93001291,,,,Leichhardt
1993,1,1,1993,1,1,"Boomalli Aboriginal Artists Cooperative, Leichhardt, Sydney, New South Wales",Australia,New South Wales,Sydney,2040,4da1950eb538b73d93001289,"Boomalli Aboriginal Artists Cooperative, Leichhardt, Sydney, NSW",place,place,-33.8837787,151.1570527,"""Shirley Amos""",4da1950eb538b73d93001292,,,,Leichhardt
2001,1,1,2001,1,1,"Gosford Regional Gallery, Gosford, New South Wales",Australia,New South Wales,Central Coast,2250,4da1950eb538b73d9300128b,"Gosford Regional Gallery, Gosford, NSW",place,place,-33.42502,151.3422194,"""Shirley Amos""",4da1950eb538b73d9300128c,,,,Gosford
2000,1,1,2000,1,1,"Old Parliament House, Canberra, Australian Capital Territory",Australia,Australian Capital Territory,Canberra,2600,4da19510b538b73d930013b6,"Old Parliament House, Canberra, ACT",place,place,-35.302346,149.129621,"""Matthew Mullawar Anderson""",4da19510b538b73d930013b7,,,,
2001,1,1,2001,1,1,"Brisbane Convention and Exhibition Centre, Brisbane, Queensland",Australia,Queensland,Brisbane,4004,4da19510b538b73d930013b8,"Brisbane Convention & Exhibition Centre, Brisbane, QLD",place,place,-27.4709331,153.0235024,"""Matthew Mullawar Anderson""",4da1c8ceb538b73d930265e5,,,,
2006,1,1,2006,1,1,"Queensland Art Gallery, Brisbane, Queensland",Australia,Queensland,Brisbane,4101,4da19511b538b73d930014c8,"Queensland Art Gallery, Brisbane, Qld.",place,place,-27.4720964,153.0181735,"""Yvonne Anderson""",4da196bab538b73d93008fd9,,,,
2001,1,1,2001,1,1,"Brisbane Convention and Exhibition Centre, Brisbane, Queensland",Australia,Queensland,Brisbane,4004,4da19510b538b73d930013b8,"Brisbane Convention & Exhibition Centre, Brisbane, QLD",place,place,-27.4709331,153.0235024,"""Yvonne Anderson""",4da1c8ceb538b73d930265e5,,,,
1999,1,1,1999,1,1,"djamu Gallery: The Australian Museum, Customs House, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19511b538b73d93001504,"djamu Gallery: The Australian Museum, Customs House, Sydney, NSW",place,place,-33.8689009,151.2070914,"""Brook Andrew""",4da19511b538b73d93001506,,,,
1994,7,3,1994,6,3,"S.H. Ervin Gallery, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1950db538b73d930011b6,"S.H. Ervin Gallery, Sydney, NSW",place,place,-33.861302,151.204458,"""Brook Andrew""",4da19511b538b73d93001508,,,,
2005,1,1,2005,1,1,"Gallery Gabrielle Pizzi, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da19511b538b73d9300150f,"Gallery Gabrielle Pizzi, Melbourne, Vic.",place,place,-37.8131869,144.9629796,"""Brook Andrew""",4da19511b538b73d93001511,,,,
1995,1,1,1995,1,1,"Art Gallery of New South Wales, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1950db538b73d930011bc,"Art Gallery of New South Wales, Sydney, NSW",place,place,-33.8686268,151.2170618,"""Brook Andrew""",4da19511b538b73d93001507,,,,
2014,3,23,2013,11,22,"National Gallery of Victoria, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da1955cb538b73d9300373a,"National Gallery of Victoria, Melbourne, Vic.",place,place,-37.8225355,144.9691134,"""Brook Andrew""",52f1dfa4d707ff1400000006,,,,
1996,1,1,1996,1,1,"Royal Albert Memorial Museum, Exeter, England, United Kingdom",United Kingdom,England,Exeter,EX4 3AT,4da19511b538b73d93001514,"Royal Albert Memorial Museum, Exeter, England, UK",place,place,50.7218,-3.533617,"""Brook Andrew""",4da19511b538b73d93001515,,,,
1999,1,1,1999,1,1,"Venice Biennale, Venice, Italy",Italy,Veneto,Venice,30170,4da19511b538b73d93001518,"Venice Biennale, Venice, Italy",place,place,45.4343363,12.3387844,"""Brook Andrew""",4da19511b538b73d93001519,,,,
1999,1,1,1999,1,1,"Contemporary Art Centre of South Australia, Adelaide, South Australia",Australia,South Australia,Adelaide,5000,4da1b1d4b538b73d9301e16a,"Contemporary Art Centre of South Australia, Adelaide, SA",place,place,-34.9286212,138.5999594,"""Brook Andrew""",513fcd49d707ff6bcd0011b0,,,,
2000,1,1,2000,1,1,"djamu Gallery: The Australian Museum, Customs House, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19511b538b73d93001504,"djamu Gallery: The Australian Museum, Customs House, Sydney, NSW",place,place,-33.8689009,151.2070914,"""Brook Andrew""",4da19511b538b73d93001505,,,,
2000,1,1,2000,1,1,"Gallery Gabrielle Pizzi, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da19511b538b73d9300150f,"Gallery Gabrielle Pizzi, Melbourne, Vic.",place,place,-37.8131869,144.9629796,"""Brook Andrew""",4da19511b538b73d93001510,,,,
2007,1,1,2007,1,1,"The Hague Sculpture, The Netherlands",Netherlands,South Holland,The Hague,2571 XC,4da19511b538b73d9300150d,"The Hague Sculpture, The Netherlands",place,place,52.0698576,4.2911114,"""Brook Andrew""",4da19511b538b73d9300150e,,,,
2006,1,1,2006,1,1,"Museo Delaware Arte Contemporaneo, Chile",Colombia,Magdalena,Santa Marta,472000,4da19511b538b73d93001512,"Museo de Arte Contemporaneo,  Chile",place,place,10.42142,-75.55051,"""Brook Andrew""",4da19511b538b73d93001513,,,,
1999,1,1,1999,1,1,"National Gallery of Australia, Canberra, Australian Capital Territory",Australia,Australian Capital Territory,Canberra,2600,4da19511b538b73d9300150b,"National Gallery of Australia, Canberra, ACT",place,place,-35.30053,149.136282,"""Brook Andrew""",4da19bd6b538b73d930126ea,,,,
2012,3,1,2012,1,1,,Australia,New South Wales,Campbelltown,2560,4fe989f2d707ff27ec000025,,place,place,-34.067636,150.813917,"""Brook Andrew""",4fe98828d707ff1e2c000035,Campbelltown Arts Centre,Australia,Campbelltown Arts Centre,
2012,3,1,2012,3,1,"Gallery 4a Asia-Australia Arts Centre, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1a2f0b538b73d930188f1,"Gallery 4a Asia-Australia Arts Centre, Sydney, New South Wales",place,place,-33.8689009,151.2070914,"""Brook Andrew""",4fe98828d707ff1e2c000035,,,,
2007,1,1,2007,1,1,"Monash University, Melbourne, Victoria",Australia,Victoria,Melbourne,3800,4da19511b538b73d9300151a,"Monash University, Melbourne, Vic.",place,place,-37.9107552,145.1333335,"""Brook Andrew""",4da19511b538b73d9300151b,,,,
2004,1,1,2004,1,1,"Gallery Gabrielle Pizzi, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da19511b538b73d93001516,"Gallery Gabrielle Pizzi, Melbourne, VIC",place,place,-37.8131869,144.9629796,"""Brook Andrew""",4da19511b538b73d93001517,,,,
2006,1,1,2006,1,1,"Art Gallery of South Australia, Adelaide, South Australia",Australia,South Australia,Adelaide,5000,4da194f7b538b73d930006f6,"Art Gallery of South Australia, Adelaide, SA",place,place,-34.920638,138.603939,"""Brook Andrew""",4da1b876b538b73d93021569,,,,
2006,1,1,2006,1,1,"National Gallery of Art, Warsaw, Poland",Poland,Masovian Voivodeship,Warsaw,00-510,4da19511b538b73d93001501,"National Gallery of Art, Warsaw, Poland",place,place,52.2296756,21.0122287,"""Brook Andrew""",4da19511b538b73d93001502,,,,
1994,1,1,1994,1,1,"Australian Centre for Contemporary Art, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da19511b538b73d93001509,"Australian Centre for Contemporary Art, Melbourne, Vic.",place,place,-37.8131869,144.9629796,"""Brook Andrew""",4da19511b538b73d9300150a,,,,
2002,1,1,2002,1,1,"TOAAC Gallery, Narangba, Queensland",Australia,Queensland,Narangba,4504,4da19512b538b73d9300159a,"TOAAC Gallery, Narangba, QLD",place,place,-27.2030603,152.9601212,"""Veronica Andrew""",4da19512b538b73d9300159b,,,,
2001,1,1,2001,1,1,"Brisbane Convention and Exhibition Centre, Brisbane, Queensland",Australia,Queensland,Brisbane,4004,4da19510b538b73d930013b8,"Brisbane Convention & Exhibition Centre, Brisbane, QLD",place,place,-27.4709331,153.0235024,"""Veronica Andrew""",4da1c8ceb538b73d930265e5,,,,
2001,1,1,2001,1,1,"Murri Mura Centre, Brisbane",Australia,Queensland,Brisbane,4004,4da19512b538b73d9300159c,"Murri Mura Centre, Brisbane",place,place,-27.4709331,153.0235024,"""Veronica Andrew""",4da19512b538b73d9300159d,,,,
2003,1,1,2003,1,1,"RNA Show Grounds, Brisbane",Australia,Queensland,Brisbane,4004,4da19512b538b73d9300159e,"RNA Show Grounds, Brisbane",place,place,-27.4709331,153.0235024,"""Veronica Andrew""",4da19512b538b73d9300159f,,,,
,,,,,,"Centre for Aboriginal Artists, Alice Springs, Northern Territory",Australia,Northern Territory,Alice Springs,0870,4da19513b538b73d9300164f,"Centre for Aboriginal Artists, Alice Springs, NT",place,place,-23.7002104,133.8806114,"""Nora Napaljarri Andy""",4da19513b538b73d93001650,,,,
1988,2,10,1988,2,10,"Gauguin Museum, Tahiti, French Polynesia",France,French Polynesia,Hitiaa O Te Ra,Unknown,4da19513b538b73d93001651,"Gauguin Museum,Tahiti, French Polynesia",place,place,-17.6509195,-149.4260421,"""Nora Napaljarri Andy""",4da19513b538b73d93001652,,,,
2001,1,1,2001,1,1,"Brisbane Convention and Exhibition Centre, Brisbane, Queensland",Australia,Queensland,Brisbane,4004,4da19510b538b73d930013b8,"Brisbane Convention & Exhibition Centre, Brisbane, QLD",place,place,-27.4709331,153.0235024,"""Michael Anning""",4da1c8ceb538b73d930265e5,,,,
2000,1,1,2000,1,1,"Brisbane City Art Gallery, Brisbane, Queensland",Australia,Queensland,Brisbane,4004,4da1b4e4b538b73d9301ecff,"Brisbane City Art Gallery, Brisbane, Qld",place,place,-27.4709331,153.0235024,"""Michael Anning""",513fcb90d707ff6bcd000f2e,,,,Brisbane City
1998,1,1,1998,1,1,"Museum and Art Gallery of the Northern Territory, Darwin, Northern Territory",Australia,Northern Territory,Darwin,0800,4da19515b538b73d93001764,"Museum and Art Gallery of the Northern Territory, Darwin, NT",place,place,-12.437368,130.833821,"""Michael Anning""",4da19515b538b73d93001765,,,,
2006,1,1,2006,1,1,"Queensland Art Gallery, Brisbane, Queensland",Australia,Queensland,Brisbane,4101,4da19511b538b73d930014c8,"Queensland Art Gallery, Brisbane, Qld.",place,place,-27.4720964,153.0181735,"""Michael Anning""",4da196bab538b73d93008fd9,,,,
2005,1,1,2004,1,1,"Museum and Art Gallery of the Northern Territory, Darwin, Northern Territory",Australia,Northern Territory,Darwin,0800,4da19515b538b73d93001760,"Museum & Art Gallery of the Northern Territory, Darwin, NT",place,place,-12.437368,130.833821,"""Michael Anning""",4da19515b538b73d93001761,,,,
2009,1,1,2009,1,1,"Queensland Art Gallery, Brisbane, Queensland",Australia,Queensland,Brisbane,4101,4da19515b538b73d9300175e,"Queensland Art Gallery, Brisbane, QLD",place,place,-27.4720964,153.0181735,"""Michael Anning""",4da1c4f6b538b73d9302567c,,,,
2006,1,1,2006,1,1,"Queensland Art Gallery, Brisbane, Queensland",Australia,Queensland,Brisbane,4101,4da19511b538b73d930014c8,"Queensland Art Gallery, Brisbane, Qld.",place,place,-27.4720964,153.0181735,"""Mario Assan""",4da196bab538b73d93008fd9,,,,
1990,11,10,1990,11,10,"Tandanya, Adelaide, South Australia (Tandanya Aboriginal Cultural Institute)",Australia,South Australia,Adelaide,Unknown,4da1952db538b73d9300239b,"Tandanya, Adelaide, SA (Tandanya Aboriginal Cultural Institute)",place,place,,,"""Tjulkiwa Atira-Atira""",4da1952db538b73d9300239c,,,,
1989,11,10,1989,11,10,"Araluen Arts Centre, Alice Springs, Northern Territory",Australia,Northern Territory,Alice Springs,0871,4da19520b538b73d93001dfa,"Araluen Arts Centre, Alice Springs, NT",place,place,-23.702999,133.862802,"""Tjulkiwa Atira-Atira""",4da1a7a3b538b73d9301a484,,,,
1989,7,10,1989,7,10,"Friends of the Earth Gallery, Melbourne Victoria",Australia,Victoria,Melbourne,3000,4da19520b538b73d93001e0e,"Friends of the Earth Gallery, Melbourne VIC",place,place,-37.8131869,144.9629796,"""Yilpi Atira-Atira""",4da19520b538b73d93001e0f,,,,
1989,11,10,1989,11,10,"Araluen Arts Centre, Alice Springs, Northern Territory",Australia,Northern Territory,Alice Springs,0871,4da19520b538b73d93001dfa,"Araluen Arts Centre, Alice Springs, NT",place,place,-23.702999,133.862802,"""Yilpi Atira-Atira""",4da1a7a3b538b73d9301a484,,,,
1989,7,10,1989,7,10,"Friends of the Earth Gallery, Melbourne Victoria",Australia,Victoria,Melbourne,3000,4da19520b538b73d93001e0e,"Friends of the Earth Gallery, Melbourne VIC",place,place,-37.8131869,144.9629796,"""Nyukana Baker""",4da19520b538b73d93001e0f,,,,
1983,9,10,1983,9,10,"Museum of Ethnology, Osaka, Japan",Japan,Ōsaka Prefecture,Osaka,530-8201,4da1952eb538b73d930023bf,"Museum of Ethnology, Osaka, Japan",place,place,34.6937378,135.5021651,"""Nyukana Baker""",4da1952eb538b73d930023c0,,,,
1976,9,10,1976,9,10,"Grace Bros, Chatswood, Sydney, New South Wales",Australia,New South Wales,Sydney,2067,4da1952eb538b73d930023c6,"Grace Bros, Chatswood, Sydney, NSW",place,place,-33.796076,151.1831019,"""Nyukana Baker""",4da1952eb538b73d930023c8,,,,Chatswood
1989,6,10,1989,6,10,"Barunga Festival, Barunga, Northern Territory",Australia,Northern Territory,,Unknown,4da1952db538b73d930023a1,"Barunga Festival, Barunga, NT",place,place,-14.5223895,132.864982,"""Nyukana Baker""",4da1952db538b73d930023a2,,,,
1977,9,10,1977,9,10,"Grace Bros, Chatswood, Sydney, New South Wales",Australia,New South Wales,Sydney,2067,4da1952eb538b73d930023c6,"Grace Bros, Chatswood, Sydney, NSW",place,place,-33.796076,151.1831019,"""Nyukana Baker""",4da1952eb538b73d930023c7,,,,Chatswood
1990,9,10,1990,9,10,"Edinburgh Festival, Edinburgh, Scotland",United Kingdom,Scotland,Edinburgh,EH1 1LL,4da1952db538b73d9300239f,"Edinburgh Festival, Edinburgh, Scotland",place,place,55.9501755,-3.1875359,"""Nyukana Baker""",4da1952db538b73d930023a0,,,,
1989,11,10,1989,11,10,"Araluen Arts Centre, Alice Springs, Northern Territory",Australia,Northern Territory,Alice Springs,0871,4da19520b538b73d93001dfa,"Araluen Arts Centre, Alice Springs, NT",place,place,-23.702999,133.862802,"""Nyukana Baker""",4da1a7a3b538b73d9301a484,,,,
1984,6,10,1984,6,10,"Canberra, Australian Capital Territory",Australia,Australian Capital Territory,Canberra,2600,4da1950eb538b73d9300128f,"Canberra, ACT",place,place,-35.3080556,149.1244444,"""Nyukana Baker""",4da1952eb538b73d930023bc,,,,
1983,10,10,1983,10,10,"Albury/Wodonga, Victoria",Australia,Victoria,Wodonga,2640,4da1952eb538b73d930023bd,"Albury/Wodonga, Vic.",place,place,-36.086332,146.9093358,"""Nyukana Baker""",4da1952eb538b73d930023be,,,,
1988,8,10,1988,8,10,Northern Territory,Australia,Northern Territory,,Unknown,4da1952db538b73d930023b2,NT,place,place,,,"""Nyukana Baker""",4da1952db538b73d930023b3,Northern Territory,,Northern Territory,
1989,1,1,1989,1,1,"Lauraine Diggins Fine Art, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da1952db538b73d930023a7,"Lauraine Diggins Fine Art, Melbourne, VIC",place,place,-37.8131869,144.9629796,"""Nyukana Baker""",4da1952db538b73d930023a8,,,,
1989,9,10,1989,9,10,"Shades of Ochre Gallery, Darwin, Northern Territory",Australia,Northern Territory,Darwin,0800,4da1952db538b73d930023ab,"Shades of Ochre Gallery, Darwin, NT",place,place,-12.4628198,130.8417694,"""Nyukana Baker""",4da1952db538b73d930023ac,,,,
1988,11,10,1988,11,10,"Boomalli, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1952db538b73d930023b0,"Boomalli, Sydney, NSW",place,place,-33.8689009,151.2070914,"""Nyukana Baker""",4da1952db538b73d930023b1,,,,
1989,5,10,1989,5,10,"Plaza Dreamtime Gallery, Alice Springs, New South Wales",Australia,New South Wales,Alice Springs,Unknown,4da1952db538b73d930023ae,"Plaza Dreamtime Gallery, Alice Springs, NSW",place,place,,,"""Nyukana Baker""",4da1952db538b73d930023af,,,,
1972,1,1,1972,1,1,"Age Gallery, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da1952eb538b73d930023cd,"Age Gallery, Melbourne, Vic.",place,place,-37.8131869,144.9629796,"""Nyukana Baker""",4da1952eb538b73d930023ce,,,,
1974,1,1,1974,1,1,"St John's, Wahroonga, New South Wales",Australia,New South Wales,Sydney,Unknown,4da1952eb538b73d930023c9,"St John's, Wahroonga, NSW",place,place,,,"""Nyukana Baker""",4da1952eb538b73d930023ca,,,,Wahroonga
2021,7,4,2020,11,14,"National Gallery of Australia, Canberra, Australian Capital Territory",Australia,Australian Capital Territory,Canberra,2600,4da19511b538b73d9300150b,"National Gallery of Australia, Canberra, ACT",place,place,-35.30053,149.136282,"""Nyukana Baker""",5fd1fcdad707ff54d900001c,,,,
1986,7,10,1986,7,10,United Kingdom,United Kingdom,Scotland,,DG10 9DX,4da1952db538b73d930023ba,United Kingdom,place,place,55.378051,-3.435973,"""Nyukana Baker""",4da1952db538b73d930023bb,,,,
1989,1,1,1989,1,1,"Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da194f4b538b73d930005f4,"Sydney, NSW",place,place,-33.8689009,151.2070914,"""Nyukana Baker""",4da1952db538b73d93002396,,,,
1982,1,1,1982,1,1,"Darwin, Northern Territory",Australia,Northern Territory,Darwin,0800,4da1952eb538b73d930023c3,"Darwin, NT",place,place,-12.4628198,130.8417694,"""Nyukana Baker""",4da1952eb538b73d930023c4,,,,
1983,10,10,1983,10,10,"Wagga Wagga, New South Wales",Australia,New South Wales,Wagga Wagga,2650,4da1952db538b73d93002399,"Wagga Wagga, NSW",place,place,-35.1155492,147.3694772,"""Nyukana Baker""",4da1952db538b73d9300239a,,,,
1987,11,10,1987,11,10,"Gap Neighbourhood Centre, Alice Springs, Northern Territory",Australia,Northern Territory,Alice Springs,0870,4da1952db538b73d930023b8,"Gap Neighbourhood Centre, Alice Springs, NT",place,place,-23.7002104,133.8806114,"""Nyukana Baker""",4da1952db538b73d930023b9,,,,
1982,1,1,1982,1,1,"Grace Bros Chatswood, Sydney, New South Wales",Australia,New South Wales,Sydney,2067,4da1952eb538b73d930023c1,"Grace Bros Chatswood, Sydney, NSW",place,place,-33.796076,151.1831019,"""Nyukana Baker""",4da1952eb538b73d930023c2,,,,
1983,10,10,1983,10,10,"Orange, New South Wales",Australia,New South Wales,Orange,2800,4da1952db538b73d93002397,"Orange, NSW",place,place,-33.2833333,149.1,"""Nyukana Baker""",4da1952db538b73d93002398,,,,
1981,1,1,1981,1,1,,,,,,,,,,,,"""Nyukana Baker""",4da1952eb538b73d930023c5,,,,
1988,6,12,1988,5,11,"Crafts Council of New South Wales, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1bd04b538b73d9302396a,"Crafts Council of New South Wales, Sydney, NSW",place,place,-33.8689009,151.2070914,"""Nyukana Baker""",4da1bd05b538b73d9302396b,,,,
1973,1,1,1973,1,1,"Civic Gallery, Canberra, Australian Capital Territory",Australia,Australian Capital Territory,Canberra,2600,4da1952eb538b73d930023cb,"Civic Gallery, Canberra, ACT",place,place,-35.3080556,149.1244444,"""Nyukana Baker""",4da1952eb538b73d930023cc,,,,
1971,1,1,1971,1,1,"Argyle Arts Centre, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1952eb538b73d930023cf,"Argyle Arts Centre, Sydney, NSW",place,place,-33.8689009,151.2070914,"""Nyukana Baker""",4da1952eb538b73d930023d0,,,,
1990,9,10,1990,9,10,"Plaza Dreamtime Gallery, Alice Springs, Northern Territory",Australia,Northern Territory,Alice Springs,0870,4da1952db538b73d9300239d,"Plaza Dreamtime Gallery, Alice Springs, NT",place,place,-23.7002104,133.8806114,"""Nyukana Baker""",4da1952db538b73d9300239e,,,,
1989,10,10,1989,10,10,"Bloomfield's Gallery, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1952db538b73d930023a9,"Bloomfield's Gallery, Sydney, NSW",place,place,-33.8689009,151.2070914,"""Nyukana Baker""",4da1952db538b73d930023aa,,,,
