,0,1,2,3,Year
16,,Bernice Edwell,"LA Adamson, Esq",,1923
17,,Portia Geach,Mrs Edith Cowan,,1923
18,,May Gower,Hammond Toms,,1923
19,,May Gower,Miss McConaghy,,1923
20,,Lindsay Bernard Hall,General Ryan,,1923
21,,Lindsay Bernard Hall,Mrs Sydney Pern,,1923
22,,A Elizabeth Kelly,"Rev Charles Perry, MA",,1923
23,,Vince Lysaght,Sir Matthew Nathan,,1923
24,/prizes/archibald/1923/17374/,W B McInnes,Portrait of a lady,(Winner: Archibald Prize 1923),1923
25,,W B McInnes,Sir Baldwin Spencer,,1923
26,/prizes/archibald/1923/17375/,W B McInnes,James Dyer,,1923
27,,W B McInnes,Professor David Masson,,1923
28,,William Macleod,John Spence,,1923
29,,William Macleod,JF Archibald,,1923
30,,William Macleod,Mary Edwards,,1923
31,/prizes/archibald/1923/17201/,William Macleod,Percy Leason,,1923
32,,William S Millington,Mrs Millington,,1923
33,,Agnes Paterson,Miniature,,1923
34,,RW Phillips,Self-portrait,,1923
35,,Florence Aline Rodway,Sir Alexander MacCormick,,1923
36,,Clarice Sandford,Saunders F Nicholls,,1923
37,,Arnold Joseph Victor Shore,Self-portrait,,1923
38,,S Scott Sudlow,Self-portrait,,1923
39,,Jo Sweatman,Harold C Smith,,1923
40,,Frederick Lyttelton Tregear,Frank Hutchens,,1923
41,,Frederick Lyttelton Tregear,Mrs Wm Moore (Dora Wilcox),,1923
42,/prizes/archibald/1923/19016/,Lyall Trindall,Mr E Lyons,,1923
43,,Lyall Trindall,Self-portrait,,1923
44,,Charles Wheeler,Self-portrait,,1923
45,,Joseph Wolinski,David Gilpin,,1923
46,,Joseph Wolinski,J C Bradfield,,1923
47,,Joseph Wolinski,S H Solomon,,1923
48,,Joseph Wolinski,Thomas Nesbitt,,1923
49,,A Marriott Woodhouse,Brigadier General W Ramsay McNicoll,,1923
0,,James Muir Auld,"Mr George Finey, artist",,1924
1,,A M E Bale,Miss Mollie Agnew,,1924
2,/prizes/archibald/1924/14657/,A M E Bale,Miss Clive Walsh,,1924
3,,Lawson Balfour,Charles Bryant,,1924
4,,George Bell,Mrs Edward White,,1924
5,,James A Bowman,Mr Thomas Hall,,1924
6,,Ernest Buckmaster,Portrait of a lady,,1924
7,,Ernest Buckmaster,Portrait of a violinist,,1924
8,,Ernest Buckmaster,A Warrant Officer,,1924
9,,Norman Carter,Mr Bryce Carter,,1924
10,,John J Collins,Mr Fritz Bennecke Hart,,1924
11,,Bessie Cooper,Mrs Gunn,,1924
12,,Antonio Dattilo-Rubbo,Portrait of a lady,,1924
13,,Antonio Dattilo-Rubbo,Nelson Illingworth,,1924
14,/prizes/archibald/1924/15541/,Antonio Dattilo-Rubbo,Self-portrait,,1924
15,,Thomas Dean,Portrait,,1924
16,,Aileen R Dent,AL Montague (Professor of Music),,1924
17,,Aileen R Dent,Mr John D O'Hara (actor),,1924
18,,Aileen R Dent,Miss Ethel Wellesley (acts),,1924
19,,Charles Goode,Self-portrait,,1924
20,,Ray S Gower,Lawson Balfour (artist),,1924
21,,Ray S Gower,Portrait of a girl,,1924
22,,David Grieve,Self-portrait,,1924
23,,May Grigg,Miss Bertha Lavery,,1924
24,,John J Hennessy,Self-portrait,,1924
25,,John Macdonnel,Portrait,,1924
26,,W B McInnes,Jean,,1924
27,,W B McInnes,Sir Baldwin Spencer,,1924
28,,W B McInnes,Ruth,,1924
29,/prizes/archibald/1924/17378/,W B McInnes,Miss Collins,(Winner: Archibald Prize 1924),1924
30,,W B McInnes,Mr Agar Wynn,,1924
31,,Benjamin Edward Minns,Portrait,,1924
32,/prizes/archibald/1924/18225/,Harry Linley Richardson,Miss DK Richmond,,1924
33,,Joshua Smith,"The Honourable A Bruntnell, MLA",,1924
34,,Frederick Lyttelton Tregear,The artist's mother,,1924
35,,J S Watkins,Professor Brennan,,1924
36,,Charles Wheeler,Portrait,,1924
37,,Charles Wheeler,Portrait,,1924
38,,A Marriott Woodhouse,Portrait of a lady,,1924
39,,A Marriott Woodhouse,Self-portrait,,1924
0,,Mary Cecil Allen,Miss Alice Guest,,1925
1,/prizes/archibald/1925/14514/,Mary Cecil Allen,Mrs RD Elliott,,1925
2,,H B Armstrong,"AM Armstrong, Esq",,1925
3,,James Muir Auld,Self-portrait,,1925
4,,James Muir Auld,Jack,,1925
5,,A M E Bale,Miss Mollie Agnew,,1925
6,,A M E Bale,"W Mountier Bale, Esq",,1925
7,,Lawson Balfour,Portrait of a lady,,1925
8,,Lawson Balfour,"The Hon JC White, MLC",,1925
9,,Lawson Balfour,"HW Apperly, Esq",,1925
10,,Lawson Balfour,Portrait of a lady,,1925
11,,George Bell,"Bernard Heinze, Esq",,1925
12,,George Bell,Mrs George Bell,,1925
13,,Bessie Boultbee,Miss Mabel Barling,,1925
14,,Bessie Boultbee,An artist,,1925
15,,James A Bowman,"CJ Jeffries, Esq",,1925
16,,Walter Armiger Bowring,Self-portrait,,1925
17,,Walter Armiger Bowring,Mrs WA Bowring,,1925
18,,Ernest Buckmaster,Mr Dosser,,1925
19,,Ernest Buckmaster,John Shirlow (etcher),,1925
20,,Ernest Buckmaster,Portrait of a lady,,1925
21,,Ernest Buckmaster,The artist's mother,,1925
22,,Ernest Buckmaster,Mr Watts,,1925
23,,Norman Carter,"Sir William McMillan, KCMG",,1925
24,,Norman Carter,Alfred O'Shea (tenor singer),,1925
25,,Norman Carter,"The Hon WM Hughes, PC",,1925
26,,Norman Carter,"Miss Lelia Coppola, BA",,1925
27,,Norman Carter,"Miss Gladys Marks, BA",,1925
28,,William Gilbert Collins,Miss Vesta Carah,,1925
29,,Antonio Dattilo-Rubbo,Miss Marie Bentivoglio,,1925
30,/prizes/archibald/1925/15543/,Antonio Dattilo-Rubbo,Brigadier General TH Fiaschi,,1925
31,,Roi de Mestre,Miss EM Dangar,,1925
32,,Aileen R Dent,"Albert Edward Swanson, Esq",,1925
33,,Mary Edwell-Burke,A woman painter,,1925
34,,Ray S Gower,Mrs GF Days,,1925
35,,Ray S Gower,"JJ Gower, Esq",,1925
36,,John J Hennessy,Self-portrait,,1925
37,,Carlyle Jackson,Portrait of a lady,,1925
38,,Marion Jones,"AJ Litchfield, Esq",,1925
39,,Marion Jones,Mrs Frank Hewson,,1925
40,,Marion Jones,Self-portrait,,1925
41,,Marion Jones,Miss G Alice Jones,,1925
42,,Marion Jones,Self-portrait,,1925
43,,Marion Jones,Sir Keith Smith,,1925
44,,A Elizabeth Kelly,"Cecil F Kelly, Esq",,1925
45,,A Elizabeth Kelly,Miss Roma Carey,,1925
46,/prizes/archibald/1925/16962/,George W Lambert,"GJ Cohen, Esq",,1925
47,,George W Lambert,"AA Rankin, Esq",,1925
48,/prizes/archibald/1925/17113/,John Longstaff,Maurice Moscovitch,(Winner: Archibald Prize 1925),1925
49,,Percival James Norton,Professor Charteris LLB,,1925
50,,Alfred William Pratt,Miss Eleanor Pratt,,1925
51,,Trenia Smith,"Evan Smith, Esq",,1925
52,,Ethel Anna Stephens,Countess Montemerli,,1925
53,,R A Strath,"SRP Stevens, Esq",,1925
54,,R A Strath,Self-portrait,,1925
55,,R A Strath,Elma,,1925
56,,Jo Sweatman,Mrs Carl Hampel,,1925
57,,J R Thompson,Portrait,,1925
58,,Lyall Trindall,Portrait of a lady,,1925
59,,J S Watkins,Mrs JS Watkins,,1925
60,,J S Watkins,Miss Kathleen Witham,,1925
61,,J S Watkins,"The Hon AC Willis, MLC",,1925
62,,Charles Wheeler,Portrait,,1925
63,,Ada Clara Whiting,Miss Rene Harcourt,,1925
64,,Ada Clara Whiting,Miss Marjorie Clarke,,1925
65,/prizes/archibald/1925/19683/,Ada Clara Whiting,Miss Jessica Harcourt,,1925
66,,Joseph Wolinski,"F Antill Pockley, MD",,1925
67,,Joseph Wolinski,"A Watson Munro, MD (a sketch)",,1925
68,,Joseph Wolinski,Self-portrait,,1925
69,,Joseph Wolinski,"A Watson Munro, MD.",,1925
70,,A Marriott Woodhouse,Brigadier General W Ramsay McNicoll,,1925
71,,A Marriott Woodhouse,Mrs JR Purdy,,1925
72,,A Marriott Woodhouse,Lady with amber beads,,1925
73,,A Marriott Woodhouse,Portrait of a lady,,1925
0,,J Adam,Portrait,,1926
1,,J Adam,Portrait,,1926
2,/prizes/archibald/1926/14662/,A M E Bale,"Philip Broinowski, Esq",,1926
3,,A M E Bale,"Miss A Brotherton Cherry, BA",,1926
4,,Lawson Balfour,"William Slade, Esq",,1926
5,,George Bell,Mrs George Bell,,1926
6,,Walter Armiger Bowring,"GM Merivale, Esq",,1926
7,/prizes/archibald/1926/14859/,Walter Armiger Bowring,Dr JRM Robertson,,1926
8,,Ernest Buckmaster,Mrs Cargidy,,1926
9,,Ernest Buckmaster,Self-portrait,,1926
10,/prizes/archibald/1926/15157/,Norman Carter,"AJ Kilgour, Esq, MA, LLB",,1926
11,,William Gilbert Collins,Mrs Dando,,1926
12,,A D Colquhoun,"Fritz Hart, Esq",,1926
13,,Aileen R Dent,"WW Killen, Esq, MHR",,1926
14,,Aileen R Dent,Sir George Knibbs,,1926
15,,Mary Edwell-Burke,Miss May Moore,,1926
16,,John Farmer,Mrs Warne,,1926
17,/prizes/archibald/1926/15999/,Albert Henry Fullwood,"Robert Bonar, Esq",,1926
18,,Ray S Gower,Self-portrait,,1926
19,,Grace Hoy,Miss Brenda Oliver,,1926
20,,Grace Hoy,Commandant Atkins,,1926
21,,Reginald Jerrold-Nathan,"Bob Waden, Esq",,1926
22,,Reginald Jerrold-Nathan,Mrs Gratton,,1926
23,,Marion Jones,Lt Col TF Rutledge,,1926
24,,John Longstaff,"A Consett Stephen, Esq",,1926
25,,John Longstaff,Dr WH Crago,,1926
26,,John Longstaff,Sir John Grice,,1926
27,,John Longstaff,"Lauchlan Mackinnon, Esq",,1926
28,,W B McInnes,Portrait,,1926
29,/prizes/archibald/1926/17383/,W B McInnes,Silk and lace (Miss Esther Paterson),(Winner: Archibald Prize 1926),1926
30,,W B McInnes,Portrait,,1926
31,,W B McInnes,"The Hon Philip Street, Chief Justice",,1926
32,,Josephine Muntz-Adams,Study of a young girl,,1926
33,,Christopher Murray,Miss J Delemere,,1926
34,,John Nickal,Janet,,1926
35,,Percival James Norton,Mrs G Finey,,1926
36,,Percival James Norton,"EH Oxnard Smith, Esq",,1926
37,,C W Peck,Self-portrait,,1926
38,,Adelaide Perry,Monsieur Antoine Konstant,,1926
39,,Adelaide Perry,Mrs Baxter,,1926
40,,RW Phillips,Winifred Brindley,,1926
41,,William Rowell,Miss AME Bale (artist),,1926
42,,Unknown artist,(Title unknown),,1926
43,,J S Watkins,George Finey (artist),,1926
44,,J S Watkins,Mrs JS Watkins,,1926
45,,J S Watkins,Erik Langker (artist),,1926
46,,Charles Wheeler,Portrait,,1926
47,/prizes/archibald/1926/19249/,Charles Wheeler,Mrs George Benson,,1926
48,,Percy I White,Lt General Sir John Monash,,1926
49,,Percy I White,Miss Marie Burke,,1926
50,,Joseph Wolinski,Tien Hogue (Mrs Guy Wyatt),,1926
51,,Joseph Wolinski,"TE Rofe, Esq",,1926
52,,Joseph Wolinski,Rev AD Wolinski,,1926
53,,Joseph Wolinski,AH Fullwood (artist),,1926
54,,Joseph Wolinski,"WA Holman, Esq, KC",,1926
55,,A Marriott Woodhouse,Portrait of a lady in red,,1926
56,,A Marriott Woodhouse,Miss Beryl Turner,,1926
57,,A Marriott Woodhouse,Portrait of a lady,,1926
0,/prizes/archibald/1927/14663/,A M E Bale,Mr William Rowell,,1927
1,,Lawson Balfour,Mr Philip H Morton,,1927
2,,Minnie Bernhard Smith,Nurse SA Smith,,1927
3,,Minnie Bernhard Smith,Nurse SA Smith,,1927
4,,Bessie Boultbee,Portrait,,1927
5,,Walter Armiger Bowring,Mr CJD Goldie,,1927
6,/prizes/archibald/1927/14862/,Walter Armiger Bowring,Mr W Arundel Orchard,,1927
7,,Ernest Buckmaster,My mother,,1927
8,,Ernest Buckmaster,Portrait in green and gold,,1927
9,,Ernest Buckmaster,Self-portrait,,1927
10,,Norman Carter,Mr Henry Perdriau,,1927
11,,Norman Carter,Mr MR Macrae,,1927
12,,William Gilbert Collins,The finishing touch,,1927
13,,A D Colquhoun,"Mr W Macmahon Ball, MA",,1927
14,,Aileen R Dent,Mrs Ryland,,1927
15,,Aileen R Dent,"Mr OR Snowball, MLA",,1927
16,,Aileen R Dent,Professor HF Schraeder,,1927
17,/prizes/archibald/1927/15777/,Mary Edwell-Burke,Mrs Dorothy Murray,,1927
18,,John Farmer,Mr Benno Scherek,,1927
19,,Ray S Gower,Mr JJ Gower,,1927
20,,Ray S Gower,Mrs Newman,,1927
21,,Ray S Gower,Miss Scott-Findlay,,1927
22,,David Grieve,"Mr W Maloney, MP",,1927
23,,John J Hennessy,Dr Augustus L Kenny,,1927
24,,Reginald Jerrold-Nathan,Miss Goodlands,,1927
25,,Reginald Jerrold-Nathan,Mrs Sidney Moore,,1927
26,,Reginald Jerrold-Nathan,Self-portrait,,1927
27,/prizes/archibald/1927/16964/,George W Lambert,Mrs Murdoch,(Winner: Archibald Prize 1927),1927
28,,Julia B Lynch,Mrs EW Kane,,1927
29,,Julia B Lynch,Sir Charles Statham,,1927
30,,W B McInnes,Sentiment,,1927
31,,W B McInnes,The days of real sport,,1927
32,,W B McInnes,Mrs Harold Tuxton,,1927
33,,W B McInnes,Self-portrait,,1927
34,,W B McInnes,Miss Irene Vanbrugh,,1927
35,,Percival James Norton,"Rev AH Garnsey, MA",,1927
36,,Percival James Norton,"Mr Sydney Long, ARE",,1927
37,,William Rowell,Portrait of a lady,,1927
38,,Trenia Smith,Portrait,,1927
39,,Jo Sweatman,Portrait study,,1927
40,,Lyall Trindall,Miss Florence McDonald,,1927
41,,Lyall Trindall,Portrait,,1927
42,,Lyall Trindall,Miss Dorothy Atkinson,,1927
43,/prizes/archibald/1927/19192/,J S Watkins,Mr George Collingridge,,1927
44,,Charles Wheeler,Mrs Anketell Henderson,,1927
45,,Charles Wheeler,Miss Marie Burke,,1927
46,,Percy I White,"Mr FT Hickford, MA, LLB",,1927
47,,Percy I White,Mr Gustave Stahel,,1927
48,,Percy I White,"Rev John Danglow, MA",,1927
49,,Percy I White,Sir John MacFarland,,1927
50,,Percy I White,Sir John Monash,,1927
51,/prizes/archibald/1927/19377/,Joseph Wolinski,"Mr Aubrey Halloran, BA, LLB",,1927
52,,Joseph Wolinski,"Mr SH Smith, MA",,1927
53,,Joseph Wolinski,Self-portrait,,1927
54,,Joseph Wolinski,Mr Louis Stone,,1927
55,,Joseph Wolinski,Mr E de Lough,,1927
0,,James Muir Auld,Portrait of the artist,,1928
1,,James Muir Auld,Mrs Townshend,,1928
2,,A M E Bale,Miss Mollie Agnew,,1928
3,,Caroline Barker,Mr Inigo Jones,,1928
4,,Joseph Arthur Bennett,Miss Hillier,,1928
5,,Bessie Boultbee,Two sisters,,1928
6,,Bessie Boultbee,Tony Fagan,,1928
7,,James A Bowman,Major General Victor Sellheim,,1928
8,/prizes/archibald/1928/14865/,Walter Armiger Bowring,Sir Henry Braddon,,1928
9,,Walter Armiger Bowring,Self-portrait,,1928
10,,Walter Armiger Bowring,"The Rev EM Baker, MA",,1928
11,,Ernest Buckmaster,Mother,,1928
12,,Ernest Buckmaster,Mr John Shirlow,,1928
13,,Norman Carter,"The Honourable Sir William Cullen, KCMG",,1928
14,,Norman Carter,Mrs Beavan,,1928
15,,Norman Carter,Miss Soord,,1928
16,,Colin Colahan,Self-portrait,,1928
17,,Aileen R Dent,Mrs Butterworth,,1928
18,,Aileen R Dent,Miss Gilman-Jones,,1928
19,,John Dobbie,Portrait,,1928
20,,Mary Edwell-Burke,Self-portrait,,1928
21,,Joseph Luke Fleury,Self-portrait,,1928
22,,Ray S Gower,Self-portrait,,1928
23,,Ray S Gower,Mr AG Scott Findlay,,1928
24,,Ray S Gower,Mr JJ Gower,,1928
25,,Ray S Gower,Miss Scott Findlay,,1928
26,,Gwendolyn Grant,Mrs M Forrest,,1928
27,,Gwendolyn Grant,"Professor F Cumbrae-Stewart, KC, DCL",,1928
28,,David Grieve,Mr Conrad Sayce,,1928
29,,Brenda Holland,Grand-mere,,1928
30,,Grace Jardine,"Lieut Col NC Talbot, MC, CDG",,1928
31,,Reginald Jerrold-Nathan,The Hon TR Bavin MLA,,1928
32,,Reginald Jerrold-Nathan,Mr AW Green,,1928
33,,Reginald Jerrold-Nathan,Sir Alfred Meeks,,1928
34,/prizes/archibald/1928/16966/,George W Lambert,Mr Howard Hinton,,1928
35,/prizes/archibald/1928/16965/,George W Lambert,Mr Julian Rossi Ashton,,1928
36,,Frederick William Leist,Diana Moody,,1928
37,,Aletta Lewis,Mrs Victor Jenkins,,1928
38,,Aletta Lewis,Professor AR Radcliffe Brown,,1928
39,/prizes/archibald/1928/17118/,John Longstaff,Dr Alexander Leeper,(Winner: Archibald Prize 1928),1928
40,,John Longstaff,The Hon Theodore Fink,,1928
41,,Alfred Ernest MacDonald,Mrs AE Macdonald,,1928
42,,R J McFadden,Self-portrait,,1928
43,/prizes/archibald/1928/17392/,W B McInnes,"Mr Frank Tate, CMG, MA",,1928
44,,Frederick Hutchisen Monteath,Mr William Macleod,,1928
45,,Arthur J Murch,"Senior Chaplain James Green, CMG, VD",,1928
46,,Percival James Norton,"The Hon SR Innes Noad, MLC",,1928
47,,Oswald Paul,Mr Roderic Quinn,,1928
48,,Oswald Paul,Steele Rudd,,1928
49,/prizes/archibald/1928/18004/,Adelaide Perry,Mrs Mary Gilmore,,1928
50,/prizes/archibald/1928/18005/,Adelaide Perry,Mr Basil Burdett,,1928
51,,Edward H Perry,The Duke of Wellington,,1928
52,,William Rowell,"Mr Allan Wilkie, CBE",,1928
53,,Lyall Trindall,Miss Florence McDonald,,1928
54,,J S Watkins,Professor Randal Woodhouse,,1928
55,,Percy I White,"Rt Hon Sir Isaac A Isaacs, PC, KCMG",,1928
56,,Percy I White,"Dr William Maloney, MHR",,1928
57,,Percy I White,Mr LV Biggs,,1928
58,,Percy I White,"Very Rev Rabbi Dr Joseph Abrahams, MA, PhD",,1928
59,,Percy I White,Mr Edward Vidler,,1928
60,,Leslie Wilkie,Mr James Ashton,,1928
61,,Mary Will-Slade,Late Lester S Donaldson SM,,1928
62,,Mary Will-Slade,An octogenarian,,1928
63,,Joseph Wolinski,Captain Watson,,1928
64,,Joseph Wolinski,The paisley shawl,,1928
65,,Joseph Wolinski,Mr AJ Fischer,,1928
0,,James Muir Auld,Portrait of a lady,,1929
1,/prizes/archibald/1929/14575/,James Muir Auld,Self-portrait,,1929
2,,Herbert Badham,"W Moppett, MD",,1929
3,,Caroline Barker,Portrait,,1929
4,,Bessie Boultbee,Miss Margaret Elliott,,1929
5,/prizes/archibald/1929/14868/,Walter Armiger Bowring,"Miss Isabel Fidler, BA",,1929
6,,Walter Armiger Bowring,Mrs J McCaughey,,1929
7,,Walter Armiger Bowring,Rear Admiral ERGR Evans,,1929
8,/prizes/archibald/1929/14867/,Walter Armiger Bowring,"Geoffrey Fairfax, Esq",,1929
9,,Ernest Buckmaster,Mrs E Wharton Lloyd,,1929
10,,Ernest Buckmaster,Self-portrait,,1929
11,,Ernest Buckmaster,"L Gill, Esq",,1929
12,,Norman Carter,Sir Thomas Henley,,1929
13,,Norman Carter,Miss Mary Doberer,,1929
14,,Elaine Coghlan,Monsieur de Closay,,1929
15,,Colin Colahan,M Tarczynski,,1929
16,,Irene E Crossing,"Frank Albert, Esq",,1929
17,,Thomas Dean,Miss H Saunders,,1929
18,,EJ De Lough,Life's triple span,,1929
19,/prizes/archibald/1929/15653/,Roi de Mestre,"His Excellency The Governor of NSW, the Right Honorable Admiral,  Sir Dudley de Chair, KCB, MVO",,1929
20,,Aileen R Dent,"EO Farley, Esq",,1929
21,,Aileen R Dent,Mrs Dale,,1929
22,,Aileen R Dent,"E Bakewell, Esq",,1929
23,,Amadeus Julius Fischer,Miss K Booth,,1929
24,,Amadeus Julius Fischer,Miss Betty Robertson,,1929
25,,Amadeus Julius Fischer,Self-portrait,,1929
26,,Amadeus Julius Fischer,Miss Marion Brown,,1929
27,,Helena Nellie Govett,"James Bromilow, Esq",,1929
28,,Ray S Gower,Mrs CC Kent,,1929
29,,Ray S Gower,Miss Irma Scott Findlay,,1929
30,,Ray S Gower,"JJ Gower, Esq",,1929
31,,Gwendolyn Grant,"Major General Spencer Browne, CB, VD",,1929
